group,member
0,11170
0,4787
0,15120
0,756
1,14798
1,12998
1,7697
1,1531
1,8273
1,5026
1,17082
1,15976
1,4226
1,17073
1,570
1,134
1,12022
1,5499
1,5565
1,8030
1,12848
1,12497
1,3775
2,11894
2,1895
2,12221
2,14947
3,6008
3,16058
3,3280
3,1085
3,14748
3,9607
3,17353
3,16464
3,16921
3,12901
3,17572
3,10380
3,11795
3,5593
3,13115
4,8337
4,15840
4,12705
4,17075
4,6590
4,14035
4,4655
5,1801
5,4093
5,7827
6,2643
6,7023
6,8416
6,9308
6,807
6,16969
7,6386
7,1613
7,7389
7,5786
7,15950
7,715
7,4403
7,2618
8,3440
8,2475
8,11891
8,3771
8,6265
8,12115
8,11350
8,7074
8,17112
8,12974
8,4458
9,5147
9,3073
9,13944
9,11622
9,15774
9,7405
9,5242
9,2291
9,7194
9,3645
9,5298
9,11355
9,7198
9,2084
9,5532
9,13348
9,2556
9,8990
9,17188
9,16437
9,7403
9,17349
9,3296
9,5771
10,8613
10,8712
10,13054
10,16878
10,15389
10,610
10,14767
10,1298
10,9621
10,10666
10,12808
10,3318
11,7446
11,963
11,3616
11,3076
11,4581
11,8808
11,3495
11,8789
11,9598
11,990
11,981
11,13117
11,4048
11,13232
11,11913
11,12729
11,10700
12,1238
12,7334
12,6407
12,7842
12,3042
12,686
13,6577
13,2178
13,194
14,11544
14,1245
14,15573
14,16112
14,14651
14,12846
14,2952
14,16664
15,2563
15,13376
15,7513
15,3836
15,15412
15,850
16,6467
16,2531
16,8611
16,16378
16,2203
16,543
16,9991
16,1907
16,15114
16,4255
16,285
16,15677
16,12649
16,11465
16,10785
16,7300
17,16284
17,15818
17,12794
17,12331
17,8106
17,3117
17,2768
17,1099
17,2271
17,7576
17,11002
18,1492
18,914
18,17028
18,4598
18,17122
18,16458
18,17177
18,10628
18,14385
18,10160
18,13211
18,15808
18,12350
18,1865
18,10124
18,13350
18,13622
18,6295
19,10735
19,3
19,13515
20,329
20,4527
20,15440
21,13473
21,17190
21,11686
21,14728
21,6131
21,14081
21,4775
21,10374
21,15941
21,9717
21,12279
21,8641
21,660
21,16988
21,7361
22,763
22,9186
22,12579
22,1140
22,8073
22,6385
22,2632
22,1278
22,8590
22,3208
22,8231
22,557
22,10450
22,3709
22,17127
22,11738
23,14039
23,14880
23,3374
23,2491
23,12120
23,7899
23,3006
24,7464
24,4054
24,16462
25,10985
25,8759
25,1704
25,12873
25,13999
26,10631
26,8783
26,404
26,12459
26,14386
27,10328
27,3253
27,10296
27,3365
27,9021
27,1767
28,15654
28,8047
28,11512
28,13615
28,14913
28,12702
28,15746
29,12721
29,5071
29,2224
29,10865
29,2538
29,17245
29,13994
29,13482
30,16107
30,17549
30,13920
30,9417
30,13922
30,3206
30,3367
30,13176
30,13199
30,13441
30,7254
30,1508
30,16075
30,4069
30,8336
30,7521
30,16528
30,17415
30,6592
30,15611
30,16324
30,5060
30,10868
30,10187
30,17261
31,2501
31,1267
31,6449
31,12215
31,4700
31,11056
31,4152
32,15219
32,2856
32,2572
32,34
32,2749
32,16847
32,2297
32,17337
32,1576
32,3350
32,777
32,9244
32,13337
32,2190
33,6954
33,6169
33,6828
33,4020
33,8243
33,2821
33,8502
33,8736
33,15054
33,10271
34,16050
34,1451
34,10012
35,13029
35,2250
35,7088
35,14867
35,15793
35,6839
35,12822
35,15989
35,16910
35,6228
35,2205
35,13171
35,7889
36,11878
36,2765
36,10825
36,15815
36,2135
36,15944
36,141
36,11612
36,10971
36,14646
37,15838
37,16166
37,7715
37,1350
