group,member
0,4787
0,15120
0,11170
0,756
1,5565
1,134
1,3775
1,12022
1,7697
1,570
1,8030
1,17073
1,4226
1,15976
1,5026
1,17082
1,1531
1,14798
1,12998
1,12848
1,12497
1,5499
1,8273
2,14947
2,1895
2,12221
2,11894
3,12901
3,5593
3,16464
3,10380
3,6008
3,13115
3,16921
3,16058
4,14035
4,4655
4,17075
4,8337
4,12705
4,6590
4,15840
5,7827
5,1801
5,4093
6,8416
6,9308
6,7023
7,7389
7,6386
7,1613
7,715
7,4403
8,2475
8,17112
8,11350
8,11891
8,3771
8,3440
8,4458
8,12974
8,12115
8,6265
8,7074
9,2084
9,5147
9,5242
9,7405
9,5771
9,3073
9,2291
9,13944
9,5532
9,2556
9,11622
9,16437
9,8990
9,7198
9,7403
9,3645
9,17349
9,5298
9,17188
9,11355
9,15774
9,3296
9,13348
9,7194
10,15389
10,12808
10,14767
10,8613
10,10666
10,16878
11,3495
11,13117
11,8808
11,3616
11,7446
11,4581
11,9598
11,10700
11,963
11,990
11,981
11,8789
11,11913
11,12729
11,13232
11,4048
11,3076
12,6407
12,1238
12,686
12,7842
12,7334
12,3042
13,194
13,6577
13,2178
14,15573
14,12846
14,1245
14,2952
14,11544
14,16112
14,14651
14,16664
15,2563
15,15412
15,3836
15,13376
15,850
15,7513
16,543
16,15114
16,2531
16,285
16,6467
16,9991
16,1907
16,11465
16,12649
16,7300
16,16378
16,2203
16,15677
16,8611
16,4255
16,10785
17,2768
17,11002
17,1099
17,2271
17,12331
17,16284
18,17177
18,1492
18,6295
18,17028
18,14385
18,15808
18,914
18,1865
18,10160
18,12350
19,3
19,13515
19,10735
20,15440
20,4527
20,329
21,15941
21,10374
21,13473
21,660
21,14081
21,8641
21,6131
21,12279
21,7361
21,14728
21,16988
21,4775
21,9717
21,17190
21,11686
22,2632
22,6385
22,1278
22,8590
22,8073
22,557
22,12579
22,763
22,8231
22,17127
22,9186
22,10450
22,3208
22,3709
22,11738
22,1140
23,2491
23,12120
23,3374
23,3006
24,4054
24,7464
24,16462
25,10985
25,8759
25,13999
25,12873
25,1704
26,14386
26,10631
26,8783
26,12459
26,404
27,9021
27,10296
27,3253
27,10328
27,1767
27,3365
28,15746
28,13615
28,11512
28,12702
28,15654
28,14913
28,8047
29,10865
29,12721
29,13994
29,2538
29,5071
29,2224
29,17245
29,13482
30,13441
30,13922
30,16107
30,9417
30,17261
30,16324
30,3206
30,3367
30,10868
30,13199
30,7254
30,5060
30,1508
30,15611
30,17415
30,6592
30,13920
30,13176
30,10187
30,17549
30,16528
30,7521
30,8336
30,4069
30,16075
31,6449
31,4700
31,11056
31,12215
31,1267
31,2501
31,4152
32,13337
32,34
32,2572
32,15219
32,17337
32,16847
32,2749
32,2856
32,9244
32,1576
32,2297
32,3350
32,2190
32,777
33,2821
33,8502
33,15054
33,8243
33,6828
33,6169
33,10271
33,6954
33,8736
33,4020
34,10012
34,1451
34,16050
35,15793
35,14867
35,7088
35,6839
35,7889
35,6228
35,12822
35,13029
35,16910
35,2205
35,2250
35,15989
35,13171
36,141
36,2135
36,2765
36,14646
36,10825
36,10971
36,11878
36,11612
36,15944
36,15815
37,10916
37,15838
37,16166
37,5503
38,1943
38,3966
38,12956
38,10764
39,7764
39,4176
39,15057
39,16951
39,14271
40,12391
40,7565
40,4704
40,5205
41,13802
41,2233
41,7478
42,15663
42,3607
42,532
43,12223
43,3619
43,15780
43,10009
43,1819
43,4406
43,10243
43,16445
43,10627
43,6723
43,1439
43,17469
43,16523
44,9706
44,2651
44,3494
44,1617
44,2287
44,16139
44,7901
44,13410
44,5784
45,16861
45,1373
45,3266
45,15761
45,205
45,15418
45,10342
45,16427
45,12550
45,2539
46,9436
46,11634
46,13462
47,8788
47,11150
47,13098
47,2999
47,9104
47,7313
48,4408
48,7819
48,12841
48,9096
48,1736
48,6686
48,16397
48,2270
48,12788
48,8344
49,7010
49,10435
49,2919
49,17264
49,2303
49,16630
49,14681
49,12046
49,8532
49,8385
49,6695
49,4225
49,1284
50,14361
50,7963
50,5421
50,16542
50,10649
51,12460
51,13396
51,3625
51,5185
51,11559
51,13611
51,3828
51,7594
51,14687
51,6930
51,2885
51,17052
51,3859
51,7885
52,15348
52,14953
52,8019
52,15768
52,15309
52,10194
52,12242
52,8091
52,12865
53,9549
53,15752
53,2495
53,16136
54,8424
54,1980
54,13207
54,13958
54,8250
54,15897
54,16803
54,1183
54,8138
54,16766
54,7702
54,7479
54,13634
55,3261
55,15377
55,2924
55,11581
55,6249
55,8864
55,8656
55,10643
55,6287
56,15009
56,17240
56,9767
56,14029
57,2245
57,10851
57,7704
57,9539
57,4252
57,314
57,7187
57,3559
58,12939
58,1931
58,4983
58,8619
58,4340
58,8398
58,948
58,16562
59,4892
59,13846
59,10132
59,5488
59,4969
59,2472
59,2039
59,2894
59,4440
59,4959
59,5423
60,13233
60,7557
60,178
60,3971
60,13621
60,14538
60,5343
60,12075
60,7794
60,16035
60,994
60,3681
60,5861
60,12928
60,7281
60,2668
60,2666
60,9450
60,16327
61,10379
61,11116
61,15963
61,14208
61,3575
61,2260
61,12493
62,5920
62,9044
62,9970
62,7955
62,16836
62,5526
62,5054
63,16811
63,17529
63,8723
63,12411
63,15720
63,5084
63,11037
63,8988
63,7331
64,1364
64,13934
64,16099
64,5464
64,16800
64,2690
64,17119
65,12483
65,4831
65,1697
65,7159
65,3016
65,5597
65,11317
65,15066
65,9555
65,358
65,9913
65,12269
65,15738
65,9257
65,2601
65,16230
65,16530
65,10824
65,988
65,12412
65,10236
65,8749
65,13480
65,4638
66,12661
66,12313
66,7257
66,2799
67,6988
67,9686
67,8924
67,16636
68,2448
68,12094
68,13978
68,14512
68,4494
68,11981
68,7644
68,8054
69,13932
69,15107
69,11469
69,16320
69,7571
69,14945
69,5419
69,8130
69,14732
69,14789
69,17727
70,14103
70,4472
70,2294
71,14841
71,3737
71,4012
72,13767
72,7109
72,9460
72,8671
73,10251
73,1052
73,5023
73,13982
73,15411
73,8467
73,8810
73,319
73,8725
73,3727
73,15233
73,354
73,3373
73,5016
73,8896
73,458
73,3718
73,6845
73,5851
73,16831
73,14041
73,9872
73,8118
73,2983
74,747
74,12197
74,8727
74,13516
75,11458
75,1330
75,2652
75,9524
76,9727
76,13872
76,16116
76,15078
76,10655
76,84
76,11443
77,6188
77,10633
77,9954
77,4864
77,14301
77,7511
78,9678
78,8491
78,12128
78,6155
78,6303
78,412
78,1455
78,14365
78,3731
78,7888
78,7370
78,5133
79,7084
79,7804
79,14593
79,3461
79,658
80,9959
80,2655
80,7167
80,11839
80,2617
80,14595
80,713
80,15243
81,12079
81,12469
81,12444
81,13900
81,549
82,6981
82,16972
82,16783
82,6671
82,6173
82,5902
82,13727
82,17221
82,14477
82,4620
82,5259
82,18
82,1105
82,8869
82,2736
82,2043
82,3503
82,16548
82,17412
83,15789
83,1870
83,1664
83,5044
83,1900
83,10886
83,14273
83,15812
83,9924
83,5447
83,2905
83,1303
83,11048
83,5712
83,1210
83,9424
84,2031
84,17878
84,2196
84,4966
84,223
85,14891
85,16335
85,12624
85,17801
85,4565
85,11678
85,1879
85,13712
85,5852
85,10885
85,16709
85,14847
85,12424
85,13173
85,12000
85,16966
85,8621
85,1574
86,12895
86,9593
86,7078
87,4302
87,11483
87,4804
87,17201
87,9753
87,12830
87,13793
88,15639
88,12017
88,8459
88,12029
88,12404
89,3576
89,3535
89,2096
89,17189
90,14991
90,64
90,4956
90,5327
90,17208
90,7146
90,4109
90,6148
90,12986
91,3090
91,12673
91,3538
91,16796
92,6186
92,15335
92,4443
92,6721
93,10881
93,9319
93,17050
93,3345
93,12586
93,10966
93,9294
93,12951
93,9061
93,4577
93,9328
93,1602
93,4580
93,11907
93,7239
93,13468
93,12282
93,1910
94,15508
94,11552
94,9738
94,15659
94,1609
94,6814
95,8980
95,8995
95,11102
95,5160
96,1934
96,4262
96,8547
96,11079
96,10652
96,5481
97,1775
97,13536
97,12183
97,13945
97,6051
97,9339
97,17143
97,2304
97,1866
97,12590
97,4274
97,212
98,4419
98,12291
98,15750
98,15873
98,363
98,2226
99,9013
99,15487
99,10329
100,6657
100,7961
100,320
100,17731
100,9588
100,10055
100,13380
100,9231
100,8634
100,5657
100,2450
101,6999
101,6203
101,8647
101,546
101,8195
101,10371
101,14965
101,1743
101,14095
101,5791
101,8543
101,7873
101,4996
101,16986
101,4589
101,637
101,17665
101,15959
101,10338
101,5569
102,14769
102,15764
102,12290
103,1058
103,15454
103,10122
103,9968
103,4808
103,13518
103,15638
103,1827
103,1717
103,931
103,13416
103,6757
103,11005
103,1584
103,2903
103,12778
104,7056
104,11139
104,12671
104,5965
104,13570
105,13109
105,13106
105,326
105,8033
105,2669
105,10343
105,8813
105,16446
106,859
106,9722
106,2479
106,15428
106,16741
106,16015
106,9729
107,17728
107,14246
107,13039
107,17457
107,15889
107,11970
107,6847
107,2423
108,16242
108,17486
108,9143
108,13745
108,5918
109,11591
109,10955
109,3024
109,858
109,2633
109,15705
109,6824
109,10159
109,8373
109,7652
110,15753
110,907
110,5796
110,4998
110,12401
110,17286
111,2796
111,5490
111,8438
111,10117
112,11336
112,13456
112,1567
112,4474
112,2
112,15862
112,4276
112,1803
112,11642
112,14960
112,11275
112,6392
113,5809
113,2889
113,4796
113,7647
113,17633
113,11456
113,10611
113,10400
113,17888
113,9985
114,550
114,3470
114,691
114,3818
114,2219
115,734
115,11448
115,5351
115,5986
116,13182
116,9856
116,10842
116,231
116,6275
116,10539
116,10987
116,11406
117,11478
117,14261
117,17832
117,13443
118,17539
118,14825
118,12568
118,8299
118,4026
118,11543
119,4089
119,16696
119,12752
119,5270
119,16865
119,10757
119,15899
119,12333
119,7220
119,5717
119,1858
119,17543
119,479
119,7917
119,13577
120,15378
120,17453
120,14620
120,9014
120,4075
120,14781
120,8756
121,9362
121,7522
121,16957
121,5641
122,4216
122,5039
122,8378
123,10352
123,3276
123,8912
123,8694
124,14070
124,16797
124,4110
124,17647
124,3224
124,8321
124,10613
124,4692
125,1534
125,12907
125,8806
125,12084
125,4673
126,4579
126,17771
126,13422
126,13837
126,6226
126,111
127,1173
127,4633
127,12644
127,17879
127,5062
127,12157
127,400
128,4257
128,3083
128,15531
128,9781
128,10223
128,2015
129,16754
129,9961
129,17877
129,11620
130,5254
130,3932
130,14422
130,12488
131,12617
131,6338
131,10688
131,17752
131,14556
131,12941
131,12567
131,651
131,14937
131,3842
131,17655
131,11042
131,10265
132,11385
132,3705
132,5387
132,6178
133,2247
133,10742
133,2000
134,11984
134,9018
134,4584
134,7998
134,8444
135,8046
135,17806
135,14842
135,15051
135,11108
135,2965
135,4588
135,17059
135,782
135,1515
135,16254
136,22
136,9355
136,11374
136,11666
136,3361
136,13027
137,13218
137,3813
137,8237
137,2735
137,4178
138,12323
138,965
138,17887
138,10903
138,13151
138,4016
138,4924
138,9196
138,13799
138,8479
139,3803
139,8342
139,11064
139,7435
139,15181
139,13581
139,10663
139,8599
139,136
139,5031
139,13086
139,3194
139,13295
139,5407
140,4346
140,4422
140,11889
140,9641
140,11294
140,12988
140,10676
140,5598
140,7391
141,4917
141,3270
141,1367
141,7752
141,15558
141,1869
141,13909
141,9578
141,12900
142,15866
142,11018
142,12386
143,3295
143,13055
143,13237
143,13096
143,14058
143,14551
143,3743
144,5477
144,7228
144,13155
144,11514
144,11772
144,5291
145,12071
145,369
145,7573
146,5793
146,14765
146,2792
147,10168
147,408
147,11901
147,10473
147,13306
147,10787
147,14878
147,14309
147,11222
147,8120
147,9140
147,6434
147,15787
147,17083
147,3676
147,540
147,10387
147,17049
147,6183
147,16524
147,9492
147,10362
148,5286
148,373
148,16499
148,16553
148,12069
148,2457
148,15733
148,16149
148,3142
148,7966
149,5555
149,11850
149,9211
149,17903
149,15206
149,14523
150,13099
150,16056
150,9894
150,6656
151,7472
151,13197
151,429
151,10175
151,13800
152,15652
152,855
152,11751
152,7516
152,2116
152,12008
153,10943
153,1932
153,7093
153,8075
153,13708
153,6891
153,11302
153,1959
153,5978
153,6030
153,9295
153,9880
153,8188
153,17139
153,15184
153,13617
154,17007
154,1673
154,12618
154,5383
154,6096
154,2063
154,11505
154,16512
154,5713
155,14377
155,12380
155,4701
155,4554
155,7709
156,12654
156,17625
156,3480
156,7564
156,8454
156,17252
156,14362
157,9012
157,121
157,4816
158,13600
158,8465
158,6283
159,16451
159,16616
159,898
159,17823
159,4061
159,577
159,1832
159,7598
160,9827
160,9743
160,232
160,16645
161,6211
161,1750
161,4978
161,14406
161,7375
161,1340
161,1732
162,7634
162,1304
162,7940
162,6932
162,12100
162,12252
162,15448
162,1506
163,13188
163,14648
163,11630
163,379
163,1220
164,1044
164,1468
164,14132
164,16337
164,15767
164,17838
164,9240
164,2407
164,13227
164,1573
164,3796
164,4182
164,17124
164,13015
164,11420
164,9011
164,9053
164,12734
164,7387
164,10315
164,17717
164,8644
165,10330
165,17809
165,17490
165,13796
165,10848
165,9184
165,9596
165,16020
165,3190
165,3275
166,7133
166,9334
166,13858
167,7025
167,4517
167,436
167,3109
168,1546
168,16120
168,5235
168,13017
168,16078
169,8212
169,15462
169,8549
169,13472
169,11273
169,7211
169,16223
169,8251
169,3498
170,2193
170,3651
170,1845
170,12769
170,11140
171,630
171,8201
171,5882
171,16772
171,7648
171,6487
172,11659
172,11384
172,12034
172,5401
172,16821
172,4306
172,6991
172,10036
172,7593
173,10383
173,15792
173,1809
173,3446
173,10843
173,8726
173,8238
174,11496
174,7373
174,2027
174,10394
175,12767
175,3050
175,14725
175,6496
175,14139
175,2244
176,9412
176,16195
176,11159
176,15633
176,8117
176,1077
177,15374
177,16658
177,11520
177,3186
178,16333
178,6054
178,12638
178,13881
178,16323
178,15675
179,16048
179,5008
179,2354
180,8282
180,10610
180,17767
180,14621
180,10522
181,11968
181,5858
181,17202
182,10067
182,11403
182,1928
182,8925
182,5247
182,3588
182,17770
182,15565
182,10373
182,15578
182,17267
182,11821
182,14126
182,8141
182,14713
183,15612
183,12299
183,15949
183,12436
183,15712
183,14238
183,9201
183,13022
183,16209
183,12715
183,15466
184,13650
184,7294
184,16794
184,2962
184,16508
184,3344
185,6693
185,7791
185,6220
185,5903
185,7986
185,16012
186,6635
186,7271
186,4005
187,3584
187,8436
187,17584
187,1657
187,5267
187,12920
187,11893
187,2611
187,8022
188,11843
188,12990
188,6808
188,1442
188,6035
188,2228
188,3998
188,9879
188,5226
188,8426
188,4378
188,10721
188,16795
188,9932
188,3353
188,685
188,6388
188,185
188,14312
188,6107
188,290
188,281
189,12491
189,12878
189,1002
189,4984
189,11162
189,1374
189,6516
189,9300
189,3466
189,2123
190,11405
190,15915
190,5953
190,4853
190,14851
190,9601
191,15463
191,14546
191,16662
192,2808
192,9926
192,7179
192,13256
192,16280
192,15623
192,5556
192,1967
192,8548
192,17030
192,11650
192,4038
192,16898
193,13649
193,17419
193,254
194,2023
194,9821
194,5137
194,12490
194,17695
194,5961
194,17151
194,10423
195,4731
195,16119
195,16046
195,1093
195,2857
195,2073
195,15211
195,91
196,941
196,7556
196,3291
196,10836
196,6825
196,13244
196,7924
197,13833
197,12158
197,10363
198,6402
198,7085
198,15855
199,17869
199,16994
199,13891
199,16236
199,9017
199,4505
199,9904
199,4465
199,125
199,14496
199,12047
199,12754
199,2893
199,3904
199,12510
199,12284
199,10932
199,1702
200,6681
200,13067
200,13470
200,6963
200,14269
200,170
201,15469
201,8446
201,7495
201,6851
201,11696
202,7879
202,7276
202,17617
203,4896
203,5306
203,9689
203,1605
203,11810
203,10468
203,12292
204,17813
204,14528
204,494
204,3623
204,339
204,6048
204,14731
204,14539
204,6960
205,13430
205,2204
205,4987
205,6832
206,1994
206,12972
206,1104
206,13681
206,17287
206,6862
206,13500
206,4278
206,13261
206,3867
206,2661
206,15537
206,3742
206,2901
206,9884
206,14272
206,9755
206,15301
207,16127
207,17263
207,8849
207,17242
207,11050
207,10929
207,2870
207,278
207,4653
207,12918
207,5645
207,10612
207,13849
207,3465
207,435
207,10364
207,6269
207,8575
207,2553
208,15426
208,6406
208,8891
208,17687
208,9465
208,10433
209,14590
209,2060
209,11709
209,11995
209,2445
209,17741
209,7566
209,5009
209,8873
209,17046
209,11636
210,17077
210,2037
210,17904
210,7512
211,16563
211,643
211,7176
211,1564
212,3360
212,3747
212,7532
212,14682
212,9223
212,14098
212,6871
212,14212
212,2276
212,12373
213,16036
213,12321
213,10269
213,9245
213,8608
213,10796
213,1692
213,2300
213,10372
213,13831
213,8428
213,3798
213,6227
213,668
213,8363
213,10010
214,5550
214,9049
214,13404
215,8576
215,8409
215,6172
215,7979
215,10501
216,10200
216,3707
216,15852
216,4039
216,1751
216,13007
216,1115
216,4748
216,11525
216,386
217,7186
217,16270
217,13722
218,8014
218,9256
218,1519
218,7856
218,11958
218,2782
218,4534
219,15178
219,2375
219,2393
219,4691
219,6118
219,6799
220,17058
220,16003
220,12714
220,6230
220,9367
220,1290
221,13847
221,957
221,6889
222,9259
222,693
222,10827
222,15847
222,1587
222,8591
222,8537
222,9790
222,12821
222,3652
223,12735
223,15674
223,15872
224,15794
224,13318
224,266
224,10715
224,9571
224,1514
225,11470
225,11072
225,14972
226,11694
226,16412
226,9311
227,16997
227,10022
227,12168
228,12599
228,3467
228,13036
228,4386
229,12910
229,11491
229,11765
230,1393
230,2053
230,10946
230,7207
230,14877
230,9895
230,11484
231,3686
231,2453
231,16841
231,2815
231,4886
232,8982
232,360
232,16298
232,5106
232,1076
233,1912
233,13717
233,2616
233,2715
233,4550
234,4915
234,15732
234,5090
234,16160
234,16426
234,17553
234,8782
234,2922
234,7668
234,4112
234,17455
234,16611
234,13514
234,10113
234,1333
234,12085
234,16640
234,13669
234,5785
234,15759
234,9705
234,13984
234,15379
235,13848
235,5396
235,10310
235,5473
236,5776
236,6790
236,10583
237,3550
237,5587
237,2067
238,2220
238,16760
238,621
238,3925
238,17126
238,1084
238,12163
238,1807
238,16115
238,12007
238,17445
238,14718
238,11459
239,17152
239,969
239,8172
240,3078
240,4552
240,15609
240,14028
240,6401
241,6892
241,6347
241,6717
241,9273
241,12850
241,12817
241,4066
241,5690
242,1748
242,13387
242,3343
242,12660
242,4859
242,14224
242,9877
242,10173
242,6736
242,1072
242,16925
243,4878
243,10585
243,7849
243,13463
244,7157
244,1390
244,8693
244,12395
244,11800
244,13537
244,16540
244,16929
244,16168
245,14714
245,10753
245,2738
246,14279
246,5468
246,5219
246,11063
246,17094
246,4190
246,14874
246,10197
246,9329
246,14715
246,9387
246,16771
246,2932
246,5198
246,14444
246,6176
247,4632
247,7407
247,1705
247,15109
247,10768
247,3416
247,12755
247,6719
247,500
247,12585
247,17713
247,3241
247,8921
247,17400
247,2971
247,16276
247,16707
247,4684
247,8618
248,15745
248,15987
248,5107
249,10756
249,6841
249,14783
249,14204
250,2978
250,9288
250,15210
250,16668
250,2648
250,13894
250,5197
250,1068
250,6457
251,11125
251,706
251,7976
251,13134
251,9052
251,6748
252,10037
252,922
252,7659
252,16663
252,11511
252,10769
252,1334
252,8620
252,9561
252,3008
252,4582
252,528
252,14668
252,16101
252,16089
252,16227
252,13352
253,13455
253,15816
253,5011
253,4354
253,16642
253,14871
253,1174
253,6348
253,13604
254,10210
254,5040
254,9426
254,14572
254,8766
254,15891
254,611
254,16182
254,9062
255,3234
255,2972
255,4707
255,9225
255,7903
255,5974
255,8678
255,6769
255,11231
255,9911
255,7164
255,10412
255,15700
255,14025
255,15731
255,16131
255,440
256,831
256,14366
256,16652
257,1930
257,3733
257,12677
257,16082
258,15112
258,2747
258,15823
258,15213
258,14643
258,1791
259,15271
259,7259
259,4521
259,13851
259,7536
259,1670
259,5767
259,13072
259,402
259,3834
259,13276
259,14903
259,8688
259,3411
259,2013
259,12065
259,7295
259,12087
259,9905
259,6328
259,2663
259,12327
259,1055
260,13052
260,10322
260,4165
261,15276
261,12458
261,9484
261,9385
261,10526
261,2568
262,7080
262,6593
262,9130
263,6978
263,1553
263,9653
263,10040
263,5536
263,9878
263,98
263,17630
263,7284
264,12542
264,13498
264,8270
264,1431
264,16076
264,16624
265,6551
265,9251
265,3134
265,4167
265,13795
265,9992
265,16356
265,7612
265,13274
265,3143
265,13867
265,5299
265,4856
265,1816
266,13289
266,13
266,2779
266,12997
266,28
266,8681
266,6134
266,8589
266,6976
266,5338
266,3463
266,3066
266,1189
266,16928
266,16262
266,6217
266,2656
266,10670
266,4836
267,7689
267,14017
267,1059
267,8521
267,14384
267,11711
267,4875
267,7273
267,13942
267,5650
267,14445
267,12718
267,7005
267,17744
267,575
267,6196
267,17524
267,14497
267,10196
267,9286
268,14054
268,15747
268,3655
269,12023
269,3826
269,10366
269,4955
269,2923
269,6911
269,953
269,10939
270,16406
270,9293
270,15484
270,16066
270,7769
270,9232
270,13740
270,17544
270,2600
270,1371
270,15131
270,10698
270,11030
270,10717
270,16061
270,14513
271,5570
271,2234
271,86
272,5325
272,16844
272,6218
273,12160
273,7900
273,12165
273,919
273,1920
273,10949
273,16261
273,13923
273,6306
273,4452
273,6562
273,5900
273,17854
274,7705
274,7261
274,4755
274,11621
274,7060
274,6086
274,11339
274,17303
274,348
274,6992
274,15575
274,15089
274,12354
274,10218
274,8968
274,7854
274,6409
274,11831
274,2076
274,12212
274,6545
274,4453
274,14848
275,10912
275,10846
275,10058
276,3302
276,16027
276,15760
276,6726
277,10892
277,10520
277,12289
277,9279
278,9844
278,13605
278,15321
278,6909
278,5551
278,11959
278,6611
278,167
278,6910
278,1891
278,2939
278,333
278,14703
279,13638
279,16085
279,9616
279,3664
279,7680
279,10600
280,1660
280,993
280,6014
280,11228
280,12664
280,41
280,1081
280,1070
280,13991
280,17818
280,17729
281,20
281,10945
281,8183
281,9472
281,5613
281,3944
281,2070
281,9342
281,14062
281,15160
281,6576
281,12137
282,6834
282,10267
282,16025
283,17693
283,2251
283,1699
283,13787
283,17145
283,7701
283,110
283,12446
284,16712
284,5564
284,17843
284,7546
284,13986
284,16938
285,6377
285,12700
285,3776
286,7305
286,4461
286,7351
286,16393
286,13677
286,11177
287,11148
287,17341
287,1627
287,8965
287,17582
287,4442
287,3829
288,15146
288,9874
288,12593
288,13610
288,7359
288,17168
288,7112
288,12780
289,13265
289,9432
289,6259
289,3110
290,1805
290,2109
290,5265
290,6033
290,6850
290,12049
290,4140
290,15850
290,4742
290,13616
290,3862
290,12080
291,11745
291,13081
291,6942
291,13556
291,9464
291,10025
291,2528
292,8889
292,16513
292,14454
292,16232
293,12051
293,10605
293,324
293,11761
293,371
293,9993
293,10253
293,17595
293,6672
293,12420
293,6137
293,7290
293,15996
293,9437
293,8365
293,14260
293,5334
293,17588
293,5925
293,16525
293,82
293,10961
293,13584
294,15053
294,6680
294,5877
294,14650
294,3606
294,8544
294,1262
294,10860
295,11103
295,5726
295,12612
295,2230
295,1411
295,2591
295,12456
295,8791
295,17507
295,13344
295,10393
295,11693
295,11825
295,12054
295,13856
295,4876
295,1344
295,5410
295,12969
296,10181
296,14555
296,2153
297,8440
297,12691
297,4719
298,16822
298,15744
298,9084
298,4478
299,11066
299,29
299,5775
299,12959
300,13868
300,9428
300,6569
300,14536
300,17212
300,1549
300,580
300,7876
300,16053
300,5139
301,15562
301,11044
301,5813
301,11639
301,16889
301,9513
