group,item,value
1712,233,6
1712,257,6
1712,272,6
1712,216,11
1712,331,44
1712,177,10
1712,315,9
1712,380,10
1712,198,4
1712,147,16
1712,170,33
1712,200,4
1712,101,8
1712,302,12
1712,4,4
1712,352,4
1712,144,25
1712,330,6
1712,5,6
1712,92,4
1712,142,4
1712,390,6
1712,158,6
1712,265,20
1712,106,6
1712,303,4
1713,337,17
1713,277,12
1713,141,11
1713,266,8
1713,197,15
1713,99,13
1713,177,33
1713,118,10
1713,206,31
1713,61,12
1713,115,8
1713,282,13
1713,108,8
1713,261,10
1713,187,13
1713,376,16
1713,166,17
1714,337,47
1714,1,40
1714,177,82
1714,122,40
1714,123,20
1714,60,41
1714,27,20
1714,380,41
1714,118,41
1714,257,55
1714,261,22
1714,189,60
1714,137,41
1714,170,46
1714,53,41
1714,287,44
1714,99,55
1714,141,55
1714,139,40
1714,230,52
1714,16,40
1714,79,41
1714,200,44
1714,285,45
1714,298,40
1714,130,41
1714,11,41
1714,33,44
1714,166,121
1714,233,44
1714,248,26
1714,29,20
1714,282,51
1714,115,28
1714,39,40
1714,277,40
1714,5,49
1714,108,26
1714,376,35
1714,344,40
1714,197,48
1714,187,44
1714,154,40
1714,206,69
1714,46,43
1714,2,40
1714,61,51
1715,99,4
1715,50,15
1715,62,4
1715,270,14
1715,282,8
1715,209,12
1715,117,4
1715,344,4
1715,130,6
1715,177,20
1715,319,4
1715,310,12
1715,118,16
1716,46,7
1716,287,21
1716,95,6
1716,277,6
1716,335,5
1716,206,11
1716,122,12
1716,337,6
1716,60,9
1716,187,12
1716,200,9
1716,30,9
1716,167,8
1716,305,7
1716,130,18
1716,208,9
1716,257,4
1716,118,8
1716,154,7
1716,157,9
1716,177,7
1716,270,6
1716,139,7
1716,2,8
1716,99,7
1716,282,14
1716,147,7
1716,142,14
1716,61,6
1716,318,4
1716,11,4
1716,197,11
1716,201,7
1716,5,6
1716,133,10
1716,53,9
1716,189,13
1716,166,65
1716,298,8
1716,79,7
1716,230,4
1716,313,7
1717,357,12
1717,383,8
1717,141,9
1717,111,7
1717,230,4
1717,286,5
1717,128,5
1717,99,32
1717,335,4
1717,166,4
1717,305,13
1717,257,14
1717,9,8
1717,380,4
1717,157,12
1717,222,5
1717,197,4
1717,352,4
1717,2,4
1717,153,4
1717,52,16
1717,28,6
1717,206,4
1717,116,8
1717,130,4
1717,177,15
1717,41,4
1717,277,7
1717,187,5
1717,168,4
1718,108,6
1718,33,6
1718,243,6
1718,305,7
1718,130,7
1718,200,6
1718,50,7
1718,177,8
1718,115,6
1718,206,7
1719,147,53
1719,99,31
1719,285,22
1719,142,102
1719,257,51
1719,189,26
1719,53,21
1719,282,42
1719,166,266
1719,200,30
1719,198,28
1719,277,23
1719,187,44
1719,215,24
1719,5,43
1719,216,26
1719,170,23
1719,230,31
1719,206,26
1719,177,46
1719,311,31
1719,130,26
1720,257,24
1720,230,26
1720,166,29
1720,33,20
1720,287,20
1720,206,20
1720,11,24
1720,189,34
1720,53,24
1721,255,6
1721,376,8
1722,174,8
1722,376,23
1722,59,15
1722,94,15
1722,236,14
1722,310,31
1722,54,16
1722,118,56
1722,137,15
1722,294,11
1722,257,31
1722,383,20
1722,166,16
1722,62,9
1722,251,16
1722,157,17
1722,120,8
1722,246,19
1722,99,60
1722,3,13
1722,287,18
1722,177,41
1722,9,19
1722,1,16
1722,198,16
1722,357,21
1722,206,45
1722,44,8
1722,277,19
1722,209,18
1722,147,14
1722,122,21
1722,73,10
1722,300,17
1722,344,32
1722,130,23
1722,141,12
1722,197,22
1722,305,32
1722,189,14
1722,200,18
1722,187,24
1722,52,14
1722,270,24
1723,54,26
1723,230,26
1723,52,26
1723,257,33
1723,157,27
1723,99,30
1723,12,26
1723,9,26
1724,230,5
1724,357,4
1724,270,12
1724,8,11
1724,200,4
1724,166,18
1724,352,6
1724,33,7
1724,118,10
1724,105,7
1724,187,15
1724,364,6
1724,2,8
1724,335,6
1724,94,4
1724,264,6
1724,50,11
1724,27,14
1724,142,16
1724,309,6
1724,337,7
1724,167,10
1724,60,7
1724,206,4
1724,263,6
1724,117,5
1724,380,15
1724,1,4
1724,197,7
1724,180,4
1724,277,8
1724,209,5
1724,375,7
1724,257,13
1724,189,13
1724,282,5
1724,234,4
1724,53,6
1724,99,13
1724,130,11
1724,61,4
1724,330,17
1724,147,8
1724,319,5
1724,305,9
1724,344,5
1724,177,14
1724,307,4
1724,122,6
1724,4,5
1724,3,5
1724,165,7
1724,208,8
1724,207,8
1724,325,7
1725,187,12
1725,2,10
1725,305,34
1725,197,11
1726,376,29
1726,187,25
1726,177,50
1726,50,28
1726,295,22
1727,380,8
1727,152,4
1728,189,20
1728,142,43
1728,344,4
1728,154,10
1728,139,7
1728,170,8
1728,60,22
1728,310,14
1728,305,10
1728,2,12
1728,230,8
1728,45,4
1728,54,10
1728,137,5
1728,133,14
1728,285,7
1728,294,8
1728,335,12
1728,208,16
1728,39,4
1728,177,22
1728,95,6
1728,99,17
1728,313,10
1728,206,26
1728,337,13
1728,30,11
1728,122,16
1728,167,12
1728,16,6
1728,130,32
1728,311,5
1728,201,7
1728,157,23
1728,277,12
1728,147,16
1728,273,4
1728,375,8
1728,251,5
1728,11,6
1728,282,27
1728,298,17
1728,197,42
1728,46,14
1728,257,9
1728,200,17
1728,270,7
1728,287,37
1728,215,4
1728,288,5
1728,252,4
1728,79,15
1728,118,18
1728,166,79
1728,187,32
1728,303,12
1728,53,13
1728,357,12
1728,61,10
1728,318,4
1728,105,5
