group,item,value
1712,270,13
1712,92,44
1712,392,25
1712,350,25
1712,201,37
1712,61,33
1712,285,33
1712,375,33
1712,362,33
1712,216,33
1712,318,33
1712,143,30
1712,345,31
1712,24,33
1713,39,36
1713,383,26
1713,18,57
1713,330,26
1713,170,53
1713,245,48
1713,307,33
1713,142,37
1713,358,25
1713,384,29
1713,273,62
1713,378,39
1713,129,33
1713,59,46
1713,16,40
1713,160,29
1713,233,29
1714,307,103
1714,113,75
1714,233,124
1714,324,169
1714,26,75
1714,40,165
1714,39,190
1714,141,176
1714,152,89
1714,142,203
1714,133,165
1714,83,75
1714,242,75
1714,11,168
1714,303,189
1714,311,75
1714,257,79
1714,273,198
1714,19,75
1714,95,165
1714,322,75
1714,123,168
1714,384,123
1714,31,169
1714,360,75
1714,46,115
1714,332,164
1714,216,167
1714,203,165
1714,120,165
1714,18,251
1714,90,75
1714,170,230
1714,378,179
1714,118,89
1714,98,78
1714,344,89
1714,150,75
1714,30,83
1714,318,167
1714,383,91
1714,245,133
1714,160,91
1714,297,69
1714,3,90
1714,149,75
1714,365,143
1714,197,92
1714,375,175
1714,107,87
1714,16,203
1714,206,89
1714,308,69
1714,287,75
1714,187,169
1714,129,106
1714,330,91
1714,193,197
1714,59,211
1715,118,34
1715,50,30
1715,383,15
1715,252,26
1715,330,15
1715,27,30
1715,160,15
1715,66,33
1715,273,45
1715,152,34
1715,333,33
1716,19,65
1716,26,65
1716,322,70
1716,107,70
1716,375,67
1716,83,65
1716,360,73
1716,113,70
1716,30,67
1716,95,88
1716,129,23
1716,365,13
1716,389,13
1716,280,26
1716,287,67
1716,39,76
1716,90,65
1716,16,71
1716,141,72
1716,123,69
1716,187,76
1716,242,75
1716,149,70
1716,324,81
1716,273,17
1716,330,25
1716,311,73
1716,45,15
1716,142,80
1716,46,73
1716,150,65
1716,216,65
1716,59,51
1716,120,46
1716,378,26
1716,307,14
1716,383,25
1716,197,72
1716,178,13
1716,264,13
1716,193,80
1716,124,30
1716,18,56
1716,318,65
1716,332,81
1716,31,81
1716,11,69
1716,160,34
1717,307,26
1717,384,19
1717,152,14
1717,241,32
1717,383,18
1717,57,16
1717,50,15
1717,260,12
1717,37,27
1717,18,27
1717,66,12
1717,231,34
1717,233,47
1717,115,12
1717,141,36
1717,5,12
1717,378,63
1717,308,62
1717,160,31
1717,363,12
1717,167,12
1717,330,18
1717,257,22
1717,356,31
1717,142,14
1717,214,30
1717,3,12
1717,144,12
1717,148,32
1717,333,14
1717,13,32
1717,353,12
1717,206,12
1717,245,12
1717,118,12
1717,365,41
1717,244,29
1717,373,14
1717,117,12
1717,344,12
1717,158,34
1717,19,13
1717,199,14
1717,297,62
1717,347,19
1717,25,13
1717,84,12
1717,273,16
1717,189,12
1717,27,17
1717,165,36
1719,120,268
1719,203,220
1719,149,227
1719,170,269
1719,18,294
1719,39,248
1719,123,254
1719,95,242
1719,83,227
1719,141,255
1719,303,314
1719,332,229
1719,11,254
1719,197,239
1719,242,238
1719,19,227
1719,16,227
1719,311,236
1719,360,236
1719,46,236
1719,187,253
1719,30,256
1719,150,227
1719,322,227
1719,216,247
1719,280,93
1719,59,253
1719,287,229
1719,90,227
1719,40,242
1719,62,69
1719,142,277
1719,193,229
1719,26,227
1719,133,220
