group,item,value
0,187,9
0,344,6
0,33,6
0,238,4
0,250,6
0,59,4
0,211,6
0,197,4
0,252,4
0,383,4
0,357,6
0,65,4
0,285,6
0,277,10
0,129,4
0,332,4
0,380,5
0,122,6
0,79,4
0,99,10
0,137,6
0,376,9
0,177,11
0,118,10
0,115,7
0,166,6
0,299,4
0,130,9
0,200,4
0,170,4
0,154,4
0,251,4
0,1,6
0,206,7
0,337,6
0,323,4
0,300,4
0,379,6
0,310,9
0,46,6
0,287,4
0,189,6
0,273,4
0,120,4
0,246,6
0,107,4
0,3,4
0,232,4
0,108,7
0,36,4
0,248,4
0,202,4
1,53,38
1,11,38
1,99,36
1,29,36
1,257,57
1,166,57
1,189,38
1,230,38
2,392,5
2,94,4
2,177,6
2,293,4
2,110,4
2,233,8
2,390,5
2,272,5
2,130,7
2,321,5
2,147,4
2,117,6
2,99,5
2,257,7
2,141,5
2,298,11
2,309,4
2,191,5
3,301,30
3,200,16
3,70,22
3,374,28
4,7,39
4,337,62
4,380,8
4,383,22
4,122,30
4,323,94
4,245,16
4,266,13
4,285,27
4,233,11
4,277,58
4,291,13
4,376,30
4,332,35
4,248,10
4,3,23
4,115,24
4,170,24
4,36,16
4,200,21
4,338,17
4,16,23
4,252,22
4,246,27
4,61,8
4,46,27
4,238,36
4,166,23
4,187,21
4,65,31
4,108,33
4,273,19
4,344,57
4,79,18
4,1,28
4,107,48
4,137,33
4,33,24
4,177,43
4,59,18
4,211,65
4,250,27
4,60,8
4,281,28
4,299,42
4,130,26
4,120,24
4,118,38
4,129,18
4,357,40
4,197,57
4,251,18
4,261,23
4,202,18
4,287,23
4,141,14
4,154,16
4,379,17
4,232,43
4,206,94
4,300,20
4,99,22
4,160,13
4,189,53
4,310,43
4,282,31
5,332,6
5,200,8
5,197,11
5,298,6
5,118,10
5,2,6
5,59,7
5,54,7
5,305,11
5,12,4
5,122,7
5,206,16
5,84,6
5,141,6
5,115,6
5,310,8
5,189,7
5,344,8
5,130,8
5,251,7
5,294,8
5,157,13
5,116,4
5,277,8
5,168,4
5,3,7
5,257,6
5,246,9
5,108,6
5,7,6
5,380,6
5,248,4
5,99,20
5,211,6
5,383,7
5,187,10
5,357,14
5,282,7
5,300,8
5,1,8
5,166,6
5,287,9
5,52,9
5,238,4
5,230,4
5,376,9
5,177,7
5,9,6
5,60,6
6,255,8
6,245,6
6,376,8
7,303,15
7,235,11
7,54,18
7,197,36
7,79,30
8,177,36
8,206,27
8,248,20
8,108,20
8,115,20
8,376,26
9,147,35
9,257,43
9,5,43
9,282,28
9,187,45
9,200,34
9,142,76
9,230,37
9,166,203
9,99,28
9,206,24
9,177,43
10,392,12
10,4,22
11,189,51
11,11,38
11,166,502
11,215,30
11,141,30
11,282,83
11,200,41
11,206,53
11,318,18
11,243,24
11,208,35
11,287,54
11,29,26
11,117,18
11,216,28
11,33,20
11,230,62
11,5,62
11,53,42
11,201,18
11,177,98
11,187,53
11,130,41
11,147,70
11,137,37
11,61,22
11,285,42
11,27,22
11,79,27
11,277,40
11,170,29
11,233,22
11,142,146
11,257,77
11,311,41
11,298,24
11,30,37
11,375,23
11,16,27
11,123,22
11,122,29
11,198,35
11,197,40
11,99,58
12,293,10
12,99,11
12,309,12
12,101,11
12,147,8
12,117,13
12,177,8
12,191,10
12,257,15
12,305,8
13,50,12
13,304,6
13,350,4
13,237,4
14,12,10
14,54,13
14,1,20
14,108,10
14,157,14
14,310,16
14,206,25
14,197,17
14,177,30
14,200,20
14,99,38
14,282,14
14,59,16
14,376,20
14,118,24
14,9,15
14,357,22
14,305,11
14,122,21
14,287,16
14,230,18
14,2,14
14,166,22
14,7,15
14,141,19
14,298,31
14,383,19
14,115,10
14,52,14
14,299,10
14,60,14
14,277,21
14,251,17
14,130,22
14,3,16
14,246,19
14,84,14
14,380,14
14,147,9
14,257,25
14,344,18
14,187,19
14,300,16
14,294,16
14,189,19
15,330,10
15,230,10
15,257,16
15,376,13
15,309,16
15,15,8
16,52,22
16,115,16
16,344,33
16,197,33
16,141,35
16,357,33
16,282,33
16,99,74
16,305,38
16,54,16
16,122,32
16,187,36
16,9,18
16,118,34
16,230,18
16,310,36
16,246,32
16,383,39
16,300,32
16,1,33
16,7,34
16,177,45
16,84,33
16,287,32
16,376,41
16,130,34
16,2,32
16,206,38
16,251,34
16,108,16
16,59,32
16,257,49
16,157,17
16,380,32
16,294,39
16,3,32
16,298,33
16,166,42
16,200,39
16,189,34
16,277,33
16,60,32
17,304,16
17,270,16
17,115,18
17,206,13
18,50,33
18,304,31
19,187,10
19,380,4
19,337,4
19,177,5
19,318,5
20,125,15
20,246,6
20,122,8
20,129,10
20,79,8
20,120,25
20,300,6
20,137,9
20,202,8
20,299,9
20,344,17
20,261,4
20,310,13
20,177,16
20,166,5
20,332,17
20,287,8
20,337,24
20,232,12
20,323,11
20,285,7
20,65,9
20,281,5
20,338,6
20,291,4
20,379,8
20,115,8
20,149,4
20,33,10
20,107,15
20,251,8
20,59,7
20,252,9
20,187,13
20,46,12
20,248,4
20,206,39
20,197,10
20,154,8
20,250,10
20,36,8
20,277,11
20,3,8
20,224,18
20,238,10
20,130,8
20,160,5
20,273,9
20,245,7
20,170,7
20,383,8
20,1,7
20,211,24
20,189,12
20,357,21
20,108,10
20,99,8
20,376,13
20,118,29
20,200,6
20,381,31
21,142,36
21,12,28
21,189,18
21,166,66
21,147,28
21,99,56
21,357,31
21,305,92
21,293,28
22,27,22
22,61,22
22,187,18
22,166,105
22,5,24
22,206,20
22,123,22
22,147,24
22,287,16
22,142,46
22,53,39
22,11,39
22,230,50
22,189,34
22,99,20
22,177,34
22,257,59
22,141,16
23,177,14
24,197,9
24,335,6
24,209,6
24,277,6
24,282,6
24,45,6
24,122,6
24,230,10
24,52,7
24,236,6
24,147,6
24,53,8
24,12,6
24,142,9
24,257,14
24,187,9
24,54,9
24,310,6
24,270,6
24,298,8
24,201,6
24,251,6
24,383,4
24,287,6
24,130,6
24,2,6
24,375,4
24,177,6
24,216,4
24,357,7
24,200,6
24,9,6
24,3,6
24,294,7
24,167,8
24,305,8
24,206,6
24,157,11
24,99,11
24,189,7
24,118,6
24,166,12
24,60,7
24,326,6
24,46,6
25,234,4
25,309,6
25,180,4
25,50,13
25,380,9
25,330,6
25,325,11
25,263,4
25,118,5
25,207,13
25,27,15
25,99,10
25,165,10
25,4,4
25,352,6
25,264,10
25,364,5
25,8,4
25,270,6
26,120,11
26,33,10
26,108,11
26,211,10
26,187,13
26,357,11
26,76,4
26,300,10
26,65,10
26,282,11
26,273,10
26,16,10
26,277,10
26,344,10
26,298,10
26,99,11
26,130,10
26,337,11
26,310,11
26,202,11
26,177,19
26,206,15
26,285,11
26,291,10
26,46,11
26,36,10
26,154,11
26,115,12
26,50,4
26,170,11
26,295,4
26,252,10
26,376,14
26,118,10
26,200,10
26,245,10
26,166,5
27,201,15
27,167,20
27,257,23
27,285,16
27,270,12
27,170,11
27,30,26
27,357,7
27,79,28
27,154,17
27,197,69
27,142,85
27,310,10
27,233,9
27,137,12
27,61,11
27,5,25
27,130,59
27,318,10
27,99,27
27,122,23
27,243,6
27,29,8
27,105,11
27,177,38
27,39,6
27,337,14
27,206,34
27,375,13
27,380,10
27,313,16
27,2,16
27,189,29
27,294,8
27,287,47
27,53,18
27,46,16
27,141,12
27,230,16
27,216,8
27,277,23
27,200,26
27,198,11
27,133,12
27,60,32
27,187,41
27,139,12
27,208,24
27,282,53
27,215,6
27,157,17
27,335,10
27,16,13
27,311,11
27,147,31
27,298,18
27,11,9
27,166,170
27,1,8
27,118,20
27,305,14
28,137,27
28,197,37
28,30,25
28,216,11
28,233,11
28,122,26
28,99,25
28,305,36
28,79,21
28,287,27
28,206,34
28,270,10
28,198,13
28,33,12
28,16,13
28,215,8
28,230,20
28,243,12
28,147,28
28,208,15
28,166,91
28,311,11
28,170,14
28,5,20
28,53,12
28,279,10
28,130,35
28,142,66
28,167,12
28,118,17
28,187,45
28,380,8
28,61,10
28,344,16
28,375,10
28,177,46
28,298,16
28,285,21
28,200,21
28,282,40
28,189,30
28,277,34
28,141,13
28,257,24
29,191,25
29,110,16
29,293,19
29,367,14
29,280,9
29,144,13
29,147,19
29,298,26
29,101,8
29,321,23
29,177,20
29,390,11
29,99,21
29,117,8
29,162,10
29,257,26
29,166,9
29,233,19
29,392,18
30,11,41
30,230,50
30,166,90
30,257,52
30,142,34
30,189,43
30,53,41
31,248,12
31,3,50
31,282,48
31,379,39
31,193,21
31,287,40
31,33,44
31,72,19
31,277,144
31,250,57
31,273,38
31,13,12
31,187,32
31,383,34
31,233,19
31,59,36
31,10,38
31,235,55
31,108,55
31,141,19
31,164,25
31,238,126
31,0,16
31,344,153
31,160,26
31,332,62
31,236,10
31,380,11
31,105,15
31,107,152
31,130,40
31,358,26
31,147,12
31,36,22
31,39,11
31,61,13
31,372,10
31,307,14
31,5,11
31,1,57
31,198,18
31,281,60
31,202,21
31,369,19
31,139,13
31,84,12
31,2,13
31,232,148
31,294,10
31,170,42
31,213,23
31,300,29
31,291,33
31,137,74
31,7,112
31,99,31
31,46,51
31,338,36
31,391,14
31,342,28
31,285,48
31,211,163
31,177,71
31,376,43
31,115,29
31,298,59
31,299,90
31,120,35
31,313,35
31,129,24
31,252,46
31,16,42
31,261,27
31,118,266
31,197,112
31,154,25
31,200,27
31,251,24
31,323,194
31,79,24
31,266,14
31,155,20
31,245,49
31,65,83
31,166,37
31,122,66
31,357,122
31,310,111
31,114,14
31,341,12
31,189,110
31,60,12
31,192,12
31,246,47
32,166,71
32,158,16
32,191,29
32,383,70
32,25,20
32,206,60
32,9,38
32,151,24
32,159,27
32,321,23
32,94,22
32,52,58
32,157,63
32,310,57
32,393,20
32,110,18
32,3,34
32,282,51
32,189,45
32,243,21
32,296,14
32,278,32
32,239,22
32,286,18
32,309,20
32,305,103
32,370,22
32,115,25
32,116,30
32,248,18
32,230,34
32,266,19
32,12,20
32,251,29
32,44,20
32,300,35
32,111,35
32,187,48
32,6,20
32,376,47
32,1,52
32,7,44
32,197,64
32,168,18
32,60,38
32,344,62
32,277,56
32,357,60
32,261,26
32,308,18
32,177,105
32,108,25
32,287,36
32,30,17
32,265,18
32,246,43
32,59,34
32,130,47
32,41,30
32,257,108
32,122,42
32,54,28
32,356,18
32,62,14
32,2,37
32,298,41
32,294,37
32,99,192
32,118,35
32,339,18
32,174,20
32,337,22
32,141,44
32,380,30
32,204,14
32,84,30
32,147,33
32,200,49
33,29,12
33,99,29
33,137,19
33,298,22
33,206,36
33,197,25
33,115,14
33,142,25
33,139,20
33,118,29
33,39,18
33,282,23
33,230,16
33,376,17
33,122,24
33,285,18
33,53,13
33,189,36
33,108,16
33,16,18
33,187,25
33,1,19
33,46,26
33,344,21
33,61,24
33,380,19
33,33,26
33,60,22
33,248,14
33,11,10
33,337,22
33,130,23
33,2,21
33,287,29
33,170,18
33,154,20
33,200,22
33,5,24
33,141,22
33,166,61
33,79,22
33,257,23
33,233,20
33,177,33
33,277,21
34,329,7
34,359,4
34,99,6
34,305,6
34,158,6
34,175,6
34,310,4
34,350,7
35,12,18
35,54,18
35,99,29
35,52,20
35,157,22
35,257,31
35,230,18
35,9,18
36,380,16
36,308,10
36,158,12
36,157,39
36,278,19
36,198,15
36,110,10
36,189,20
36,321,15
36,294,22
36,141,22
36,54,18
36,243,17
36,187,31
36,122,22
36,246,20
36,344,24
36,376,24
36,357,23
36,177,77
36,197,23
36,356,16
36,230,34
36,298,18
36,2,25
36,12,12
36,309,12
36,7,14
36,282,20
36,111,33
36,174,14
36,270,18
36,236,16
36,166,46
36,257,75
36,3,15
36,215,13
36,200,28
36,206,33
36,287,21
36,116,28
36,151,17
36,1,22
36,84,14
36,62,12
36,118,27
36,251,21
36,147,23
36,383,40
36,94,17
36,31,16
36,277,27
36,339,10
36,9,20
36,370,10
36,60,27
36,310,21
36,44,14
36,300,27
36,99,122
36,305,68
36,52,30
36,168,13
36,59,17
36,191,13
36,130,27
37,50,15
37,177,14
38,167,10
38,187,16
38,142,21
38,209,4
38,197,16
38,200,4
38,157,4
38,277,8
38,216,9
38,337,8
38,230,9
38,60,8
38,166,38
38,130,4
38,287,6
38,257,10
38,298,8
38,189,8
38,201,4
38,307,4
38,46,10
38,208,11
38,375,9
38,53,9
38,305,5
38,61,8
38,311,7
38,105,4
39,94,8
39,99,19
39,105,14
39,60,18
39,230,9
39,39,4
39,201,4
39,206,20
39,5,8
39,180,8
39,298,5
39,1,10
39,263,11
39,380,31
39,118,20
39,352,7
39,234,8
39,152,32
39,257,19
39,124,5
39,207,22
39,305,20
39,8,17
39,311,6
39,215,9
39,117,16
39,61,4
39,147,16
39,270,18
39,142,42
39,101,9
39,313,8
39,325,9
39,187,25
39,197,25
39,337,11
39,357,7
39,122,15
39,33,12
39,209,7
39,141,4
39,208,16
39,130,35
39,264,6
39,390,8
39,165,4
39,275,5
39,309,7
39,3,7
39,11,5
39,2,13
39,50,14
39,166,30
39,282,15
39,364,9
39,189,31
39,312,6
39,200,16
39,307,7
39,46,6
39,287,17
39,335,6
39,27,20
39,167,23
39,333,14
39,53,16
39,277,15
39,177,24
39,35,5
39,344,9
39,4,8
40,263,12
40,57,9
40,305,11
40,206,8
40,207,6
40,176,9
40,178,11
40,117,4
40,163,12
40,15,8
40,27,13
40,333,14
40,94,8
40,209,8
40,99,13
40,313,8
40,280,8
40,264,9
40,376,4
40,357,10
40,118,13
40,152,18
40,256,8
40,124,9
40,181,8
40,270,11
40,177,10
40,55,10
40,330,17
40,373,8
40,1,10
40,167,11
40,91,8
40,148,9
40,339,9
40,50,14
40,101,12
40,293,9
40,183,9
