group,item,value
0,59,25
0,18,13
0,16,13
0,250,24
0,273,41
0,193,25
0,245,32
0,378,33
0,338,16
0,129,17
0,238,16
0,152,12
0,307,21
1,365,108
2,19,15
4,260,37
4,233,61
4,203,40
4,66,37
4,358,93
4,318,43
4,244,66
4,107,78
4,391,42
4,84,37
4,251,37
4,333,37
4,13,43
4,113,44
4,120,38
4,144,37
4,344,68
4,139,35
4,39,80
4,16,84
4,36,58
4,95,40
4,252,81
4,193,113
4,57,39
4,273,110
4,152,70
4,160,69
4,40,40
4,142,60
4,245,90
4,379,65
4,27,39
4,363,37
4,129,89
4,5,37
4,118,68
4,167,37
4,307,91
4,332,51
4,357,53
4,206,68
4,133,40
4,75,35
4,378,96
4,383,69
4,46,52
4,187,80
4,98,36
4,250,85
4,189,37
4,285,90
4,45,53
4,18,91
4,353,37
4,170,105
4,31,80
4,347,37
4,115,37
4,3,71
4,197,55
4,303,44
4,372,49
4,365,52
4,147,39
4,324,104
4,330,71
4,216,43
4,141,41
4,19,37
4,384,51
4,50,39
4,238,62
4,37,83
4,338,60
4,124,46
4,375,43
4,291,67
4,117,37
4,59,122
4,373,37
5,160,28
5,308,35
5,307,26
5,245,25
5,291,28
5,36,29
5,233,27
5,141,26
5,59,49
5,250,29
5,297,35
5,165,26
5,129,36
5,13,29
5,170,28
5,365,36
5,356,20
5,257,12
5,18,27
5,193,43
5,98,19
5,378,50
5,273,38
8,206,38
8,152,38
8,344,38
8,118,38
8,273,79
9,150,200
9,322,200
9,303,328
9,31,226
9,149,200
9,203,219
9,123,237
9,18,269
9,170,226
9,83,200
9,40,219
9,360,200
9,141,228
9,120,243
9,26,200
9,318,222
9,19,200
9,11,237
9,242,202
9,197,210
9,187,226
9,142,243
9,133,219
9,375,242
9,113,200
9,16,200
9,332,200
9,324,226
9,216,222
9,193,200
9,311,200
9,287,202
9,59,226
9,107,200
9,39,224
9,30,220
9,90,200
9,46,200
9,95,219
11,273,63
11,373,63
11,311,223
11,287,196
11,330,134
11,360,223
11,344,63
11,59,198
11,51,141
11,353,63
11,57,63
11,5,63
11,113,278
11,322,278
11,307,151
11,363,63
11,16,278
11,150,278
11,245,63
11,383,134
11,3,84
11,333,63
11,308,116
11,90,278
11,26,278
11,66,63
11,117,76
11,332,250
11,216,201
11,201,170
11,62,141
11,318,201
11,193,278
11,27,65
11,187,198
11,233,156
11,46,223
11,107,278
11,206,63
11,160,134
11,257,105
11,365,136
11,31,198
11,197,256
11,167,63
11,189,63
11,297,116
11,115,63
11,384,113
11,50,65
11,83,278
11,244,78
11,347,63
11,144,63
11,152,63
11,118,63
11,84,63
11,378,191
11,324,198
11,280,181
11,37,63
11,19,278
11,260,63
11,149,278
12,19,31
14,344,41
14,257,44
14,39,27
14,378,115
14,245,64
14,244,39
14,297,79
14,141,55
14,18,69
14,307,72
14,37,42
14,330,46
14,129,57
14,59,83
14,193,98
14,356,33
14,16,35
14,19,39
14,13,62
14,233,68
14,206,41
14,165,42
14,142,40
14,384,30
14,118,41
14,383,41
14,365,87
14,250,42
14,3,35
14,273,88
14,160,66
14,291,36
14,98,25
14,170,80
14,308,79
14,152,43
15,365,40
16,273,153
16,308,131
16,307,113
16,245,72
16,13,110
16,160,74
16,365,126
16,378,188
16,98,50
16,165,87
16,18,124
16,233,105
16,193,192
16,297,131
16,170,113
16,59,172
16,356,61
16,141,107
16,19,58
16,129,110
19,307,13
20,114,21
20,125,38
20,307,35
20,384,15
20,118,29
20,285,31
20,251,23
20,338,32
20,206,29
20,324,21
20,193,56
20,27,15
20,379,24
20,235,21
20,273,36
20,50,15
20,59,72
20,197,19
20,147,21
20,113,42
20,358,41
20,160,19
20,170,44
20,330,21
20,291,25
20,129,61
20,3,18
20,213,21
20,233,19
20,245,46
20,238,33
20,13,16
20,244,16
20,120,14
20,142,18
20,383,19
20,294,14
20,378,53
20,18,26
20,344,29
20,107,33
20,391,22
20,139,14
20,16,42
20,250,35
20,152,29
20,36,18
20,37,32
20,252,42
20,365,18
20,39,44
21,303,119
21,141,114
21,378,68
22,39,99
22,318,80
22,59,78
22,332,69
22,95,95
22,120,96
22,170,109
22,150,72
22,30,87
22,149,69
22,133,97
22,303,170
22,193,72
22,365,62
22,287,69
22,16,74
22,197,71
22,123,150
22,203,97
22,83,69
22,375,98
22,141,97
22,113,69
22,46,71
22,142,128
22,257,94
22,322,69
22,40,95
22,31,75
22,11,150
22,187,75
22,18,132
22,324,75
22,311,71
22,19,69
22,90,69
22,216,80
22,107,69
22,360,71
22,26,69
22,242,71
24,11,22
24,214,21
24,233,12
24,142,26
24,59,34
24,303,39
24,149,13
24,129,13
24,160,23
24,40,17
24,31,27
24,332,29
24,242,19
24,365,29
24,193,31
24,273,24
24,197,13
24,252,18
24,123,22
24,39,13
24,19,15
24,107,13
24,297,32
24,46,15
24,311,15
24,18,33
24,170,34
24,95,17
24,257,25
24,45,20
24,120,16
24,324,27
24,133,30
24,113,13
24,322,13
24,307,13
24,308,32
24,287,13
24,378,32
24,187,21
24,203,30
24,141,23
24,360,15
25,333,25
25,207,20
25,350,12
25,365,22
25,306,14
25,75,30
26,365,12
26,338,31
26,16,17
26,245,41
26,344,33
26,36,12
26,129,40
26,170,15
26,37,20
26,378,41
26,147,12
26,160,14
26,307,22
26,59,21
26,383,14
26,273,56
26,13,12
26,193,16
26,152,37
26,118,37
26,233,20
26,18,13
26,330,14
26,250,34
26,113,14
26,107,13
26,206,33
27,363,25
27,129,79
27,66,25
27,389,56
27,57,32
27,84,25
27,357,61
27,5,25
27,27,52
27,344,27
27,50,50
27,165,29
27,62,85
27,252,32
27,3,41
27,233,65
27,45,86
27,260,25
27,381,32
27,383,97
27,160,114
27,124,84
27,167,25
27,37,36
27,353,25
27,273,84
27,280,112
27,308,45
27,307,81
27,23,37
27,117,27
27,378,97
27,384,46
27,264,56
27,373,25
27,279,32
27,206,27
27,201,96
27,178,58
27,297,45
27,333,25
27,125,32
27,144,25
27,245,62
27,347,25
27,152,40
27,115,25
27,51,85
27,365,65
27,224,32
27,189,25
27,372,24
27,75,63
27,330,97
27,118,27
27,250,87
27,244,54
28,365,58
28,297,44
28,308,44
28,378,70
28,37,40
28,330,77
28,273,74
28,344,43
28,333,36
28,115,34
28,62,55
28,133,64
28,152,45
28,347,34
28,167,34
28,51,55
28,117,36
28,50,49
28,144,34
28,280,58
28,201,74
28,189,34
28,187,84
28,31,87
28,324,89
28,84,34
28,353,34
28,5,34
28,160,53
28,3,41
28,206,43
28,124,51
28,384,52
28,57,34
28,95,50
28,307,105
28,245,65
28,363,34
28,66,36
28,170,66
28,373,34
28,27,49
28,203,60
28,142,59
28,260,34
28,383,77
28,118,45
28,129,44
28,233,67
28,40,52
28,244,46
29,350,30
29,378,36
29,19,70
29,233,28
29,365,32
29,308,32
29,152,26
29,239,32
29,345,32
29,297,32
29,25,35
29,330,30
29,27,39
30,303,109
31,11,30
31,328,66
31,120,69
31,360,30
31,294,62
31,237,66
31,149,30
31,242,30
31,37,91
31,357,112
31,165,35
31,362,37
31,124,120
31,233,102
31,39,30
31,323,83
31,285,33
31,32,83
31,199,24
31,53,75
31,332,100
31,115,71
31,176,29
31,84,71
31,98,103
31,372,82
31,373,71
31,375,79
31,8,66
31,45,112
31,154,66
31,213,163
31,379,167
31,358,91
31,0,56
31,125,62
31,206,114
31,88,24
31,280,80
31,17,83
31,179,34
31,318,79
31,276,56
31,96,122
31,167,71
31,142,108
31,36,78
31,23,73
31,139,51
31,160,111
31,298,24
31,363,71
31,304,66
31,380,57
31,31,149
31,311,30
31,208,43
31,41,24
31,383,111
31,141,63
31,30,30
31,170,94
31,46,74
31,322,30
31,260,71
31,57,85
31,24,37
31,26,30
31,27,75
31,169,66
31,190,24
31,1,38
31,216,79
31,152,128
31,384,90
31,64,56
31,168,24
31,131,66
31,7,24
31,345,75
31,95,77
31,344,114
31,353,71
31,330,113
31,3,128
31,40,77
31,246,24
31,44,56
31,271,29
31,133,77
31,14,66
31,50,75
31,324,96
31,347,71
31,186,43
31,365,78
31,5,71
31,336,80
31,251,138
31,203,77
31,291,112
31,187,149
31,112,43
31,56,43
31,391,150
31,75,59
31,162,46
31,244,110
31,13,74
31,123,30
31,189,71
31,364,66
31,113,108
31,150,30
31,307,150
31,83,30
31,144,71
31,235,163
31,61,49
31,19,71
31,277,29
31,117,71
31,201,37
31,147,64
31,175,111
31,114,163
31,72,108
31,321,28
31,55,24
31,129,107
31,303,95
31,333,71
31,118,114
31,90,30
31,287,30
31,16,52
31,66,71
31,197,99
31,79,66
31,282,29
32,75,87
32,18,188
32,162,102
32,333,118
32,158,173
32,330,141
32,27,123
32,16,135
32,40,89
32,344,138
32,233,180
32,152,138
32,11,93
32,203,92
32,250,95
32,95,89
32,167,87
32,5,87
32,303,134
32,354,60
32,39,126
32,13,217
32,50,123
32,347,137
32,168,93
32,273,205
32,193,195
32,378,210
32,257,124
32,31,99
32,199,120
32,129,118
32,214,161
32,366,57
32,189,87
32,241,155
32,363,87
32,117,87
32,98,78
32,239,67
32,383,120
32,321,80
32,144,87
32,260,87
32,124,68
32,160,167
32,115,87
32,123,93
32,41,102
32,148,155
32,25,113
32,118,138
32,165,187
32,111,73
32,36,123
32,206,138
32,37,100
32,384,144
32,133,92
32,19,158
32,120,100
32,307,174
32,55,79
32,59,184
32,332,112
32,141,222
32,57,110
32,286,77
32,46,85
32,142,174
32,324,99
32,170,175
32,221,66
32,66,97
32,84,87
32,187,92
32,373,97
32,231,173
32,365,221
32,245,148
32,297,192
32,308,192
32,353,87
32,45,73
32,3,131
32,139,52
32,291,98
32,244,165
32,1,54
32,356,177
32,358,65
33,187,81
33,83,40
33,46,50
33,120,81
33,297,31
33,378,93
33,98,45
33,250,51
33,141,85
33,133,102
33,203,98
33,308,31
33,242,48
33,322,43
33,365,72
33,324,84
33,318,74
33,375,78
33,197,54
33,332,89
33,107,64
33,233,48
33,170,122
33,59,119
33,39,97
33,150,40
33,330,32
33,19,42
33,26,40
33,18,122
33,95,95
33,123,68
33,245,72
33,360,43
33,273,109
33,129,63
33,90,40
33,30,53
33,160,35
33,383,32
33,216,74
33,16,100
33,40,97
33,113,46
33,287,45
33,31,84
33,193,115
33,11,68
33,303,93
33,311,43
33,149,43
33,142,92
35,257,56
35,308,73
35,297,73
36,16,58
36,124,49
36,95,53
36,244,126
36,98,38
36,3,107
36,245,103
36,260,68
36,199,68
36,324,61
36,117,68
36,66,79
36,75,33
36,252,44
36,273,146
36,187,55
36,19,129
36,5,68
36,11,58
36,214,103
36,120,57
36,383,104
36,31,61
36,133,60
36,365,188
36,129,70
36,165,138
36,356,126
36,158,134
36,123,58
36,13,150
36,373,80
36,18,152
36,45,58
36,378,179
36,384,95
36,40,53
36,353,68
36,203,58
36,27,101
36,332,90
36,141,168
36,307,143
36,118,104
36,39,64
36,167,68
36,233,164
36,162,66
36,321,42
36,152,117
36,206,97
36,330,114
36,297,185
36,160,139
36,115,68
36,308,185
36,208,41
36,57,86
36,344,97
36,37,96
36,170,96
36,193,142
36,291,58
36,347,90
36,333,92
36,363,68
36,257,97
36,303,105
36,231,134
36,250,40
36,148,122
36,36,72
36,241,122
36,142,130
36,189,68
36,144,68
36,46,53
36,84,68
36,59,126
36,50,98
38,123,47
38,142,51
38,187,54
38,120,54
38,203,63
38,90,33
38,280,25
38,303,47
38,133,35
38,197,37
38,30,40
38,18,57
38,250,14
38,141,36
38,51,15
38,318,33
38,311,48
38,149,33
38,287,47
38,62,15
38,242,57
38,107,33
38,150,33
38,193,35
38,45,14
38,170,58
38,95,53
38,11,47
38,324,54
38,19,33
38,216,33
38,113,33
38,201,15
38,40,55
38,322,33
38,59,54
38,46,48
38,332,52
38,39,35
38,26,33
38,375,40
38,31,54
38,360,48
38,129,27
38,16,46
38,83,33
39,107,29
39,95,46
39,59,56
39,308,25
39,322,29
39,98,17
39,193,56
39,90,21
39,304,26
39,39,50
39,333,15
39,75,17
39,18,48
39,150,34
39,187,50
39,133,78
39,120,55
39,378,41
39,125,17
39,360,53
39,165,36
39,242,56
39,324,56
39,124,18
39,11,34
39,311,53
39,31,56
39,364,21
39,40,48
39,123,34
39,375,30
39,27,16
39,203,73
39,245,36
39,113,29
39,170,78
39,381,17
39,303,61
39,141,49
39,62,34
39,50,45
39,297,25
39,318,21
39,365,63
39,332,40
39,152,12
39,250,39
39,216,21
39,273,42
39,142,46
39,306,33
39,16,38
39,26,21
39,46,53
39,83,21
39,287,21
39,197,23
39,19,45
39,350,38
39,207,14
39,307,18
39,149,35
39,30,23
39,224,17
39,280,43
39,279,17
40,273,31
40,380,56
40,304,21
40,57,80
40,280,73
40,148,13
40,208,47
40,170,13
40,367,15
40,328,61
40,233,19
40,178,45
40,383,19
40,122,25
40,252,12
40,23,48
40,336,38
40,378,75
40,127,21
40,194,14
40,365,34
40,145,39
40,234,55
40,347,31
40,152,77
40,50,16
40,373,54
40,356,29
40,333,83
40,212,55
40,349,50
40,142,15
40,306,15
40,98,92
40,160,19
40,307,42
40,352,14
40,364,49
40,303,13
40,330,49
40,165,23
40,118,23
40,193,23
40,19,39
40,207,63
40,75,46
40,105,30
40,225,39
40,124,65
40,37,12
40,312,12
40,264,25
40,244,26
40,143,15
40,350,37
40,66,53
40,263,22
40,27,51
40,60,32
43,384,41
43,18,128
43,59,139
43,170,120
43,193,96
43,36,93
43,324,73
43,245,121
43,129,65
43,307,56
43,31,71
43,273,177
43,344,69
43,16,127
43,39,120
43,332,51
43,206,69
43,46,73
43,285,60
43,238,66
43,250,135
