group,item,value
2202,115,15
2202,246,23
2202,287,18
2202,380,6
2202,291,12
2202,1,21
2202,281,21
2202,344,55
2202,108,25
2202,3,21
2202,213,5
2202,154,10
2202,122,23
2202,177,34
2202,120,14
2202,170,21
2202,13,6
2202,99,16
2202,137,29
2202,129,11
2202,252,19
2202,341,8
2202,107,61
2202,381,11
2202,307,4
2202,189,42
2202,7,37
2202,141,12
2202,337,81
2202,206,111
2202,285,22
2202,160,10
2202,391,4
2202,37,4
2202,72,6
2202,60,6
2202,211,55
2202,59,15
2202,273,16
2202,266,10
2202,250,18
2202,39,4
2202,2,8
2202,236,4
2202,200,11
2202,46,22
2202,193,8
2202,261,18
2202,79,10
2202,248,6
2202,338,12
2202,10,10
2202,65,28
2202,187,10
2202,16,26
2202,166,20
2202,233,10
2202,155,6
2202,198,8
2202,36,11
2202,332,25
2202,61,8
2202,372,4
2202,383,11
2202,358,10
2202,376,19
2202,0,9
2202,238,43
2202,202,11
2202,277,55
2202,232,48
2202,294,4
2202,310,44
2202,300,15
2202,298,22
2202,235,9
2202,96,4
2202,245,18
2202,130,15
2202,299,42
2202,282,29
2202,379,17
2202,197,49
2202,118,125
2202,251,11
2202,33,18
2202,369,6
2202,224,6
2202,5,4
2202,105,5
2202,323,96
2202,342,8
2202,209,4
2202,357,33
2202,192,6
2202,114,6
2202,139,6
2203,130,12
2203,206,12
2203,305,12
2204,60,16
2204,344,12
2204,170,12
2204,122,17
2204,177,27
2204,11,8
2204,216,6
2204,53,10
2204,298,12
2204,115,13
2204,2,13
2204,206,48
2204,139,12
2204,141,13
2204,79,14
2204,248,12
2204,108,14
2204,13,6
2204,332,8
2204,310,20
2204,282,23
2204,154,12
2204,166,70
2204,337,39
2204,189,23
2204,287,17
2204,233,12
2204,118,32
2204,130,20
2204,147,8
2204,380,10
2204,16,15
2204,1,11
2204,261,10
2204,39,8
2204,137,14
2204,376,15
2204,142,20
2204,285,14
2204,61,15
2204,187,18
2204,200,15
2204,3,8
2204,99,16
2204,33,10
2204,230,10
2204,257,10
2204,277,24
2204,197,31
2204,5,14
2204,46,16
2205,50,14
2205,337,12
2206,295,6
2206,76,5
2206,50,6
2206,216,4
2206,376,9
2206,386,6
2206,337,5
2206,118,5
2206,177,21
2206,258,4
2206,170,7
2206,253,6
2206,187,13
2206,302,8
2206,90,8
2206,99,6
2206,154,6
2207,257,38
2207,166,8
2207,147,10
2207,157,18
2207,2,10
2207,99,51
2207,174,8
2207,25,8
2207,383,12
2207,54,12
2207,44,8
2207,191,8
2207,356,8
2207,305,20
2207,9,12
2207,243,10
2207,177,20
2207,52,18
2207,230,10
2208,376,21
2208,21,9
2208,101,17
2209,187,6
2209,305,11
2209,177,8
2209,380,7
2210,99,21
2210,197,28
2210,277,24
2210,376,22
2210,337,47
2210,170,17
2210,344,15
2210,261,20
2210,108,20
2210,118,41
2210,177,41
2210,115,20
2210,248,18
2210,246,22
2210,206,80
2210,202,12
2210,166,28
2210,211,17
2211,147,6
2211,189,6
2211,331,8
2211,150,4
2211,330,6
2211,380,9
2211,177,13
2211,302,10
2211,106,6
2211,257,6
2211,390,6
2211,50,6
2212,257,26
2212,99,33
2212,52,13
2212,157,10
2212,383,12
2212,305,15
2212,147,13
2213,115,9
2214,108,15
2214,380,17
2214,206,19
2214,376,13
2214,115,13
2214,248,10
2214,177,20
2215,13,6
2215,37,7
2215,334,6
2215,313,6
2215,324,6
2215,337,6
2215,187,7
2215,79,15
2215,99,7
2215,177,6
2215,235,6
2215,357,6
2215,383,6
2215,142,9
2215,211,6
2215,323,6
2215,252,6
2215,213,6
2215,277,6
2215,197,13
2215,107,6
2215,10,8
2215,344,6
2215,232,6
2215,166,9
2215,46,9
2215,294,11
2215,154,9
2215,385,6
2215,72,7
2215,32,6
2215,338,6
2215,300,6
2215,310,8
2215,246,7
2215,379,6
2215,7,7
2215,369,6
2215,170,8
2215,96,7
2215,342,6
2215,251,7
