group,item,value
2202,131,20
2202,27,29
2202,303,46
2202,287,12
2202,114,55
2202,357,49
2202,304,20
2202,142,54
2202,56,19
2202,373,29
2202,16,59
2202,324,90
2202,380,14
2202,120,25
2202,133,38
2202,31,69
2202,72,37
2202,360,12
2202,3,55
2202,149,12
2202,203,38
2202,13,35
2202,66,29
2202,112,19
2202,24,12
2202,364,20
2202,216,41
2202,332,48
2202,154,20
2202,152,57
2202,251,31
2202,201,12
2202,208,19
2202,44,22
2202,336,24
2202,144,29
2202,118,53
2202,187,69
2202,170,45
2202,96,23
2202,330,49
2202,19,31
2202,0,22
2202,242,12
2202,383,49
2202,375,41
2202,124,42
2202,139,21
2202,8,20
2202,318,41
2202,344,53
2202,197,45
2202,61,23
2202,64,22
2202,36,43
2202,160,49
2202,391,36
2202,169,20
2202,5,29
2202,18,39
2202,40,38
2202,125,20
2202,90,12
2202,280,24
2202,98,36
2202,213,55
2202,322,12
2202,11,12
2202,307,67
2202,75,35
2202,379,70
2202,39,35
2202,83,12
2202,362,12
2202,50,29
2202,299,54
2202,175,41
2202,53,28
2202,189,29
2202,84,29
2202,115,29
2202,260,29
2202,46,44
2202,147,30
2202,150,12
2202,30,12
2202,186,19
2202,365,35
2202,285,51
2202,237,20
2202,378,41
2202,107,69
2202,45,49
2202,129,92
2202,333,29
2202,328,20
2202,123,12
2202,353,29
2202,235,55
2202,17,23
2202,14,20
2202,141,36
2202,294,17
2202,167,29
2202,23,12
2202,276,22
2202,363,29
2202,281,102
2202,347,29
2202,113,67
2202,57,33
2202,311,12
2202,165,19
2202,206,53
2202,291,48
2202,372,36
2202,358,71
2202,244,36
2202,345,28
2202,37,67
2202,79,20
2202,95,38
2202,384,46
2202,26,12
2202,233,50
2202,32,23
2202,117,29
2202,323,23
2204,365,38
2204,118,32
2204,141,39
2204,50,21
2204,18,70
2204,57,21
2204,375,36
2204,303,50
2204,142,48
2204,37,22
2204,332,47
2204,324,58
2204,203,39
2204,129,64
2204,378,65
2204,344,32
2204,45,28
2204,123,32
2204,27,21
2204,245,56
2204,160,36
2204,152,34
2204,170,73
2204,95,37
2204,11,32
2204,98,41
2204,330,33
2204,307,40
2204,383,33
2204,133,44
2204,273,78
2204,16,71
2204,187,49
2204,59,75
2204,318,36
2204,244,21
2204,39,62
2204,216,36
2204,252,49
2204,36,39
2204,31,52
2204,233,29
2204,193,50
2204,40,40
2204,120,36
2204,46,36
2204,206,32
2206,167,16
2206,245,26
2206,383,16
2206,13,13
2206,3,16
2206,244,27
2206,363,16
2206,50,16
2206,66,27
2206,273,26
2206,373,16
2206,206,30
2206,18,16
2206,365,13
2206,5,16
2206,118,36
2206,142,24
2206,152,36
2206,233,22
2206,57,16
2206,330,16
2206,260,16
2206,84,16
2206,344,30
2206,129,19
2206,115,16
2206,37,16
2206,384,16
2206,347,16
2206,189,16
2206,144,16
2206,117,16
2206,333,27
2206,307,34
2206,160,16
2206,378,22
2206,353,25
2206,27,16
2207,13,45
2207,257,33
2207,231,49
2207,165,39
2207,141,55
2207,378,85
2207,308,107
2207,19,31
2207,158,49
2207,233,67
2207,297,107
2207,214,52
2207,365,74
2210,39,104
2210,273,155
2210,250,98
2210,245,120
2210,378,62
2210,16,84
2210,18,92
2210,152,47
2210,170,109
2210,36,52
2210,142,54
2210,59,70
2210,193,74
2211,27,19
2211,307,19
2211,333,25
2211,373,19
2211,152,25
2211,118,19
2211,66,19
2212,297,59
2212,308,59
2215,193,36
2215,375,12
2215,31,17
2215,307,20
2215,252,13
2215,59,39
2215,250,31
2215,338,18
2215,245,30
2215,303,25
2215,216,12
2215,273,32
2215,133,31
2215,187,17
2215,18,28
2215,46,23
2215,238,24
2215,251,24
2215,358,22
2215,324,17
2215,332,24
2215,378,25
2215,318,12
2216,344,41
2216,273,86
2216,142,41
2216,152,51
2216,18,59
2216,118,41
2216,206,41
2216,245,60
2217,273,61
2217,98,57
2217,365,64
2217,129,90
2217,152,69
2217,245,46
2218,148,50
2218,197,95
2218,30,86
2218,120,117
2218,356,49
2218,375,101
2218,245,35
2218,257,93
2218,378,106
2218,141,160
2218,113,89
2218,107,89
2218,83,78
2218,31,114
2218,231,54
2218,142,152
2218,170,152
2218,150,78
2218,242,108
2218,233,71
2218,52,35
2218,214,70
2218,244,71
2218,27,58
2218,318,93
2218,40,111
2218,187,110
2218,26,78
2218,16,83
2218,160,90
2218,273,74
2218,384,49
2218,216,93
2218,287,82
2218,330,71
2218,149,87
2218,90,78
2218,324,114
2218,19,109
2218,11,124
2218,50,56
2218,303,128
2218,203,127
2218,365,101
2218,322,87
2218,59,130
2218,297,95
2218,39,111
2218,193,130
2218,241,50
2218,383,61
2218,124,35
2218,360,104
2218,133,134
2218,3,37
2218,123,124
2218,332,105
2218,311,104
2218,308,95
2218,152,35
2218,307,69
2218,280,45
2218,13,50
2218,18,162
2218,158,54
2218,46,104
2218,95,111
2218,165,76
2219,18,73
2219,303,78
2220,133,89
2220,303,116
2220,170,87
2220,203,87
2220,242,87
2221,124,22
2221,373,15
2221,383,13
2221,280,15
2221,234,12
2221,50,15
2221,364,13
2221,152,31
2221,333,31
2221,367,13
2221,207,27
2221,208,13
2221,57,26
2221,27,22
2221,75,16
2221,328,15
2221,380,15
2221,98,22
2221,118,18
2221,66,30
2221,330,13
2221,307,24
2221,378,27
2221,19,13
2221,160,13
2222,324,29
2222,307,66
2222,338,86
2222,18,28
2222,59,66
2222,113,24
2222,107,31
2222,250,63
2222,273,67
2222,378,53
2222,16,30
2222,245,73
2222,193,53
2222,129,54
2222,238,86
2223,1,53
2223,131,51
2223,132,33
2223,347,46
2223,257,37
2223,114,35
2223,100,19
2223,366,19
2223,19,48
2223,239,37
2223,190,24
2223,144,61
2223,148,54
2223,20,45
2223,113,48
2223,262,33
2223,354,44
2223,95,54
2223,285,40
2223,141,48
2223,259,33
2223,15,19
2223,213,35
2223,8,59
2223,343,23
2223,258,52
2223,82,52
2223,311,32
2223,235,35
2223,126,33
2223,53,64
2223,349,38
2223,298,24
2223,187,50
2223,391,47
2223,32,24
2223,237,51
2223,175,64
2223,369,17
2223,299,55
2223,288,15
2223,322,33
2223,105,36
2223,168,43
2223,52,18
2223,50,50
2223,162,74
2223,143,15
2223,189,61
2223,276,77
2223,186,33
2223,389,50
2223,282,15
2223,167,37
2223,251,39
2223,350,63
2223,16,36
2223,41,28
2223,54,45
2223,173,23
2223,323,24
2223,270,33
2223,334,33
2223,43,45
2223,72,35
2223,283,38
2223,279,66
2223,0,50
2223,286,34
2223,231,50
2223,384,38
2223,332,54
2223,149,46
2223,381,66
2223,385,17
2223,260,70
2223,321,61
2223,281,69
2223,78,13
2223,122,60
2223,139,17
2223,60,40
2223,179,13
2223,195,33
2223,5,61
2223,176,30
2223,151,15
2223,356,72
2223,268,33
2223,25,23
2223,199,35
2223,55,31
2223,96,43
2223,244,58
2223,51,39
2223,214,47
2223,353,63
2223,255,29
2223,345,54
2223,17,24
2223,107,54
2223,263,23
2223,271,15
2223,278,19
2223,44,50
2223,56,57
2223,158,50
2223,241,51
2223,201,43
2223,181,46
2223,367,33
2223,169,51
2223,156,33
2223,194,53
2223,221,48
2223,112,35
2223,79,51
2223,147,28
2223,154,51
2223,335,52
2223,155,28
2223,357,50
2223,145,34
2223,224,66
2223,120,66
2223,306,13
2223,115,61
2223,314,21
2223,130,17
2223,222,24
2223,266,33
2223,352,19
2223,88,24
2223,234,61
2223,304,82
2223,363,61
2223,84,61
2223,104,24
