user,item,value
14291,62,2
14292,320,3
14292,380,3
14292,105,4
14292,177,4
14292,206,5
14292,310,2
14292,115,3
14292,69,2
14292,50,4
14292,304,3
14292,33,2
14292,344,2
14292,135,2
14292,3,2
14292,337,3
14292,86,2
14292,128,2
14292,45,2
14292,270,5
14293,141,2
14293,99,2
14293,287,2
14293,27,2
14293,200,2
14293,29,2
14293,5,2
14293,187,3
14293,147,2
14293,189,3
14293,215,2
14293,11,3
14293,311,2
14293,230,4
14293,142,4
14293,123,2
14293,170,2
14293,177,3
14293,33,2
14293,61,2
14293,257,4
14293,166,10
14293,206,2
14293,53,3
14294,197,2
14294,105,2
14294,344,2
14294,182,2
14294,187,2
14295,128,2
14295,33,2
14295,29,2
14296,277,2
14296,206,2
14296,281,2
14296,357,3
14296,96,2
14296,37,2
14296,211,2
14296,251,2
14297,142,2
14297,166,3
14298,50,2
14298,337,2
14298,99,2
14298,154,2
14298,177,2
14298,76,2
14298,376,2
14298,305,2
14299,282,5
14299,268,2
14299,139,2
14299,37,2
14299,5,2
14299,13,2
14299,332,2
14299,147,2
14299,45,2
14299,305,3
14299,122,3
14299,20,2
14299,337,2
14299,288,2
14299,251,2
14299,157,3
14299,294,2
14299,177,2
14299,10,2
14299,167,2
14299,154,2
14299,335,3
14299,30,2
14299,197,2
14299,72,2
14299,142,2
14299,293,2
14299,53,2
14299,189,3
14299,273,2
14299,287,5
14299,252,2
14299,357,2
14299,46,2
14299,298,2
14299,303,2
14299,60,2
14299,99,2
14299,313,3
14299,54,2
14299,130,3
14299,208,3
14299,133,4
14299,200,2
14299,310,2
14299,95,3
14299,166,7
14299,206,3
14299,96,2
14299,59,2
14299,118,2
14299,187,3
14299,2,2
14299,254,2
14299,61,2
14299,277,2
14299,201,2
14299,259,2
14299,79,2
14299,270,2
14300,309,3
14300,272,2
14300,307,2
14300,330,2
14300,300,7
14300,255,5
14300,319,3
14300,50,3
14300,230,3
14300,232,3
14300,237,2
14300,382,2
14300,323,5
14300,1,2
14300,304,4
14300,299,3
14300,305,2
14300,99,2
14300,376,3
14300,115,5
14300,209,3
14300,177,2
14301,298,2
14301,142,2
14301,187,2
14301,216,2
14301,167,2
14301,375,2
14302,200,2
14302,5,2
14302,208,2
14302,139,2
14302,282,3
14302,230,2
14302,257,2
14302,142,5
14302,197,3
14302,147,3
14302,167,2
14302,30,2
14302,335,2
14302,170,2
14302,166,9
14302,79,3
14302,201,2
14302,177,4
14302,277,2
14302,130,3
14302,154,2
14302,313,2
14302,206,2
14302,216,2
14302,187,2
14302,118,2
14302,99,2
14302,287,2
14302,198,2
14302,2,2
14302,270,2
14302,60,2
14302,46,2
14302,254,3
14302,157,2
14302,294,3
14302,53,2
14302,189,2
14302,298,2
14302,61,2
14302,305,2
14302,122,2
14302,337,3
14302,288,2
14302,45,2
14303,59,4
14303,48,2
14303,118,27
14303,0,3
14303,107,2
14303,285,3
14303,169,2
14303,198,5
14303,2,5
14303,286,3
14303,129,2
14303,232,10
14303,54,5
14303,181,2
14303,187,8
14303,152,2
14303,84,2
14303,94,7
14303,160,2
14303,170,3
14303,335,4
14303,380,5
14303,30,4
14303,108,2
14303,79,5
14303,96,2
14303,16,5
14303,145,2
14303,278,4
14303,60,12
14303,191,2
14303,158,2
14303,188,2
14303,287,5
14303,166,32
14303,366,2
14303,214,2
14303,197,26
14303,142,11
14303,13,4
14303,206,19
14303,298,6
14303,7,3
14303,39,2
14303,209,2
14303,252,3
14303,205,3
14303,303,2
14303,357,7
14303,362,3
14303,235,2
14303,211,9
14303,153,2
14303,230,5
14303,66,2
14303,321,3
14303,62,2
14303,189,15
14303,337,13
14303,72,2
14303,105,3
14303,215,7
14303,379,3
14303,370,2
14303,225,2
14303,65,4
14303,99,35
14303,367,2
14303,53,5
14303,168,2
14303,341,2
14303,233,3
14303,386,3
14303,201,3
14303,313,3
14303,277,11
14303,137,5
14303,289,2
14303,238,6
14303,300,5
14303,73,2
14303,33,4
14303,310,7
14303,177,15
14303,10,2
14303,383,7
14303,167,7
14303,250,2
14303,154,6
14303,296,2
14303,299,8
14303,157,15
14303,11,2
14303,130,23
14303,151,3
14303,46,10
14303,273,3
14303,330,2
14303,28,6
14303,344,9
14303,139,6
14303,326,3
14303,239,3
14303,352,2
14303,41,7
14303,200,8
14303,147,7
14303,222,3
14303,192,2
14303,332,7
14303,3,3
14303,45,2
14303,52,11
14303,9,5
14303,236,4
14303,251,5
14303,246,6
14303,208,2
14303,294,4
14303,24,3
14303,111,9
14303,36,2
14303,159,2
14303,115,2
14303,37,2
14303,5,3
14303,270,8
14303,305,18
14303,257,10
14303,31,2
14303,162,2
14303,61,4
14303,311,2
14303,122,9
14303,217,2
14303,1,8
14303,114,2
14303,204,2
14303,116,4
14303,202,2
14303,281,5
14303,110,2
14303,120,2
14303,193,2
14303,141,6
14303,282,8
14303,376,5
14303,243,2
14303,323,11
14304,46,2
14304,197,2
14304,166,2
14305,177,2
14305,99,2
14305,26,2
14306,248,2
14306,108,2
14306,376,2
14306,115,2
14307,45,3
14307,299,2
14307,305,4
14307,122,6
14307,246,5
14307,358,3
14307,236,2
14307,141,3
14307,193,2
14307,1,4
14307,52,2
14307,18,2
14307,379,2
14307,337,33
14307,53,4
14307,372,2
14307,3,6
14307,137,3
14307,239,2
14307,157,2
14307,257,5
14307,277,12
14307,62,2
14307,344,6
14307,335,3
14307,33,4
14307,61,3
14307,383,4
14307,351,3
14307,154,3
14307,177,8
14307,243,2
14307,202,3
14307,167,2
14307,206,18
14307,294,4
14307,380,5
14307,309,2
14307,108,4
14307,197,14
14307,307,3
14307,142,3
14307,13,3
14307,362,2
14307,245,2
14307,166,7
14307,84,2
14307,79,2
14307,201,2
14307,230,3
14307,209,3
14307,341,3
14307,215,2
14307,310,17
14307,367,2
14307,189,8
14307,99,7
14307,308,2
14307,118,27
14307,54,2
14307,2,4
14307,105,2
14307,285,3
14307,330,2
14307,356,2
14307,152,2
14307,286,2
14307,59,4
14307,181,2
14307,326,2
14307,300,4
14307,129,2
14307,158,2
14307,287,3
14307,94,2
14307,0,3
14307,273,3
14307,187,4
14307,233,3
14307,200,3
14307,357,5
14307,211,2
14307,270,3
14307,339,2
14307,130,5
14307,298,4
14307,7,2
14307,115,2
14307,36,2
14307,46,4
14307,304,3
14307,252,6
14307,192,2
14307,147,3
14307,282,6
14307,376,3
14307,139,2
14307,251,3
14307,332,6
14307,16,5
14307,127,2
14307,311,2
14307,60,4
14308,208,2
14308,142,2
14308,230,2
14308,53,2
14308,11,2
14308,189,2
14308,287,2
14308,257,2
14308,166,5
14308,206,2
14309,246,2
14309,206,4
14309,261,3
14309,282,3
14309,115,2
14309,376,2
14309,266,2
14309,108,2
14309,177,2
14309,248,2
14309,141,2
14309,277,2
14310,177,3
14311,327,3
14311,282,3
14311,230,3
14311,130,5
14311,105,3
14311,303,17
14311,357,5
14311,251,3
14311,311,3
14311,257,4
14311,206,9
14311,310,7
14311,208,7
14311,142,16
14311,197,19
14311,108,3
14311,3,5
14311,335,4
14311,167,4
14311,45,4
14311,200,3
14311,305,9
14311,277,6
14311,201,3
14311,307,3
14311,122,3
14311,61,3
14311,326,7
14311,203,5
14311,95,4
14311,147,5
14311,223,3
14311,53,3
14311,270,5
14311,133,6
14311,187,26
14311,2,4
14311,129,3
14311,177,4
14311,33,4
14311,294,3
14311,337,5
14311,118,6
14311,236,5
14311,375,7
14311,157,10
14311,18,3
14311,54,6
14311,189,6
14311,60,6
14311,46,5
14311,216,4
14311,287,21
14311,298,6
14311,209,3
14311,99,3
14312,383,2
14312,251,2
14312,277,2
14312,65,2
14312,79,2
14312,238,2
14312,60,2
14312,118,3
14312,287,2
14312,130,2
14312,232,2
14312,344,2
14312,189,4
14312,211,2
14312,33,2
14312,129,2
14312,285,2
14312,107,2
14312,99,3
14312,0,2
14312,115,3
14312,36,2
14312,46,4
14312,357,2
14312,332,3
14312,187,2
14312,206,2
14312,250,2
14312,13,2
14312,248,2
14312,337,2
14312,310,4
14312,1,2
14312,299,2
14312,122,3
14312,246,2
14312,120,2
14312,154,2
14312,379,2
14312,166,3
14312,3,2
14312,137,2
14312,59,2
14312,376,3
14312,197,3
14312,200,2
14312,252,2
14312,202,2
14312,177,2
14312,273,2
14312,108,3
14312,380,2
14312,170,2
14312,300,2
14312,323,2
14313,305,4
14313,294,2
14313,30,2
14313,177,2
14313,157,2
14313,257,2
14313,60,2
14313,9,2
14313,168,2
14313,52,2
14313,116,3
14313,62,2
14313,147,2
14313,99,4
14313,111,2
14313,278,2
14313,31,2
14314,118,2
14314,50,2
14314,264,2
14314,207,2
14314,325,2
14314,99,2
14314,163,2
14314,27,2
14314,165,2
14314,357,2
14314,167,2
14315,300,2
14315,50,2
14315,304,2
14316,197,2
14316,46,2
14316,166,2
14317,201,2
14317,53,3
14317,33,2
14317,177,4
14317,170,2
14317,11,3
14317,29,2
14317,123,2
14317,230,4
14317,257,4
14317,166,10
14317,61,2
14317,27,2
14317,142,5
14317,287,2
14317,117,2
14317,311,2
14317,147,2
