user,item,value
12495,151,2
12495,305,3
12495,99,4
12495,111,2
12495,278,2
12495,177,3
12495,344,2
12495,31,2
12495,157,2
12495,60,2
12495,158,2
12495,62,2
12495,116,2
12496,99,3
12496,298,4
12496,318,2
12496,167,4
12496,197,13
12496,11,2
12496,313,4
12496,305,3
12496,122,6
12496,141,2
12496,1,2
12496,133,3
12496,95,2
12496,130,13
12496,105,3
12496,208,7
12496,200,6
12496,147,6
12496,139,3
12496,282,13
12496,46,2
12496,230,2
12496,142,17
12496,206,8
12496,233,2
12496,337,3
12496,215,2
12496,53,3
12496,311,3
12496,30,6
12496,216,2
12496,16,3
12496,137,4
12496,279,2
12496,94,2
12496,287,9
12496,118,3
12496,187,5
12496,198,3
12496,2,4
12496,270,2
12496,61,2
12496,257,3
12496,189,8
12496,201,3
12496,157,2
12496,243,2
12496,177,9
12496,5,4
12496,277,5
12496,170,3
12496,154,3
12496,39,2
12496,60,6
12496,375,3
12496,285,4
12496,79,3
12496,335,2
12497,166,3
12497,257,3
12497,53,2
12497,189,2
12497,99,2
12497,29,2
12497,11,2
12497,230,2
12498,216,2
12498,375,2
12498,167,2
12498,166,2
12498,298,2
12498,46,2
12498,187,2
12498,197,2
12498,142,2
12499,108,2
12499,376,3
12499,248,2
12499,115,2
12500,248,2
12500,282,2
12500,310,2
12500,141,2
12500,108,2
12500,261,2
12500,266,2
12500,376,2
12500,115,3
12500,206,2
12501,166,2
12501,277,2
12501,129,2
12501,287,2
12501,305,2
12502,99,2
12502,257,2
12502,29,2
12502,166,2
12503,198,2
12503,99,2
12503,5,2
12503,215,2
12503,230,2
12503,189,2
12503,257,5
12503,216,2
12503,147,4
12503,142,3
12503,53,2
12503,141,2
12503,11,2
12503,311,2
12503,166,6
12504,216,2
12504,200,2
12504,29,2
12504,215,2
12504,147,4
12504,313,2
12504,282,6
12504,230,5
12504,206,4
12504,30,5
12504,197,2
12504,170,2
12504,177,7
12504,11,3
12504,122,3
12504,141,2
12504,311,2
12504,375,2
12504,142,9
12504,5,2
12504,285,3
12504,39,2
12504,16,3
12504,287,6
12504,318,2
12504,187,3
12504,198,2
12504,2,3
12504,277,3
12504,257,5
12504,201,2
12504,61,2
12504,166,41
12504,27,2
12504,123,2
12504,270,2
12504,189,5
12504,53,3
12504,208,3
12504,99,3
12504,137,4
12505,115,3
12505,177,7
12505,270,2
12505,2,2
12505,50,4
12505,320,2
12505,127,5
12505,310,2
12505,108,2
12505,309,2
12505,380,2
12505,296,2
12505,246,2
12505,304,3
12506,335,2
12506,154,2
12506,383,3
12506,351,15
12506,177,8
12506,286,3
12506,362,2
12506,45,2
12506,380,15
12506,187,4
12506,392,2
12506,1,7
12506,239,3
12506,52,5
12506,305,10
12506,246,2
12506,13,3
12506,142,2
12506,62,4
12506,341,3
12506,270,2
12506,257,3
12506,333,2
12506,245,2
12506,197,4
12506,152,6
12506,144,2
12506,206,2
12506,310,4
12506,367,2
12506,108,2
12506,340,2
12506,311,4
12506,337,2
12506,357,2
12506,15,2
12506,330,5
12506,130,6
12506,105,2
12506,210,3
12506,99,8
12506,209,4
12506,298,2
12506,115,2
12506,36,2
12506,29,3
12506,50,5
12506,94,3
12506,158,2
12506,300,2
12506,127,11
12506,215,2
12506,329,2
12506,147,2
12506,181,4
12506,282,2
12506,376,3
12506,53,2
12506,3,4
12506,350,3
12506,18,2
12506,344,2
12506,33,2
12506,202,3
12506,312,2
12506,359,5
12506,137,2
12506,304,13
12507,157,3
12507,39,2
12507,294,2
12507,344,2
12507,141,2
12507,133,3
12507,53,4
12507,337,7
12507,33,2
12507,5,5
12507,137,3
12507,177,5
12507,2,3
12507,189,5
12507,27,2
12507,287,6
12507,254,2
12507,118,6
12507,187,5
12507,270,3
12507,298,3
12507,46,2
12507,257,5
12507,208,3
12507,60,2
12507,147,4
12507,167,2
12507,29,2
12507,357,2
12507,130,3
12507,30,3
12507,61,4
12507,154,2
12507,305,3
12507,166,32
12507,11,3
12507,45,2
12507,79,4
12507,122,4
12507,99,4
12507,197,4
12507,313,2
12507,142,8
12507,335,3
12507,13,2
12507,117,2
12507,72,2
12507,200,5
12507,95,2
12507,201,2
12507,277,3
12507,139,2
12507,282,6
12507,230,4
12507,206,4
12507,310,3
12507,123,2
12508,246,2
12508,108,3
12508,129,2
12508,61,3
12508,257,2
12508,277,3
12508,166,10
12508,305,4
12508,197,3
12508,337,2
12508,33,2
12508,133,2
12508,2,2
12508,3,2
12508,157,2
12508,294,2
12508,202,2
12508,177,6
12508,170,3
12508,53,2
12508,307,2
12508,122,2
12508,187,4
12508,248,2
12508,327,2
12508,357,2
12508,46,4
12508,310,3
12508,206,7
12508,230,2
12508,251,2
12508,261,2
12508,376,3
12508,282,2
12508,200,2
12508,105,2
12508,130,2
12508,303,2
12508,95,2
12508,99,3
12508,298,2
12508,115,2
12508,60,2
12508,189,2
12508,54,2
12508,287,4
12508,118,3
12508,203,2
12509,305,3
12509,166,2
12509,375,2
12509,142,2
12509,99,2
12509,30,2
12509,61,2
12510,230,3
12510,323,5
12510,310,3
12510,257,4
12510,33,3
12510,206,11
12510,122,4
12510,53,2
12510,337,11
12510,379,2
12510,141,5
12510,281,5
12510,246,2
12510,137,5
12510,299,3
12510,1,2
12510,383,2
12510,344,5
12510,233,5
12510,266,2
12510,341,2
12510,154,2
12510,13,2
12510,142,5
12510,197,12
12510,380,3
12510,277,5
12510,170,4
12510,287,3
12510,11,2
12510,215,2
12510,177,6
12510,211,5
12510,16,6
12510,192,2
12510,123,2
12510,118,14
12510,0,3
12510,285,4
12510,187,3
12510,198,2
12510,2,2
12510,61,4
12510,139,3
12510,282,7
12510,261,3
12510,300,3
12510,311,2
12510,147,4
12510,130,2
12510,99,5
12510,200,3
12510,166,13
12510,79,3
12510,39,2
12510,5,4
12510,216,2
12510,298,2
12510,60,3
12510,46,4
12510,27,2
12510,189,7
12510,357,2
12510,29,2
12511,5,2
12511,216,2
12511,144,3
12511,233,2
12511,331,2
12511,170,2
12511,302,2
12512,177,4
12512,344,2
12512,118,3
12512,1,2
12512,380,2
12512,187,2
12512,245,2
12512,99,2
12512,211,2
12512,310,2
12512,160,2
12513,108,2
12513,337,2
12513,50,2
12513,105,2
12514,99,3
12514,310,2
12514,257,2
12514,270,2
12514,187,2
12514,118,2
12514,54,2
12514,9,2
12514,12,2
12514,209,2
12514,344,2
12514,380,2
12514,177,2
12514,1,2
12514,157,2
12514,52,3
12514,305,2
12514,62,2
12514,230,2
12515,177,2
12516,304,11
12516,256,2
12516,150,4
12516,105,2
12516,142,4
12516,230,2
12516,330,2
12516,282,3
12516,376,2
12516,236,2
12516,49,8
12516,340,2
12516,50,6
12516,392,3
12516,345,2
12516,292,2
12516,350,2
12516,248,2
12516,380,2
12516,154,2
12516,335,2
12516,177,3
12516,14,2
12516,257,2
12516,237,2
12516,130,2
12516,101,2
12516,379,2
12517,291,2
12517,323,8
12517,120,3
12517,65,2
12517,246,2
12517,248,2
12517,3,4
12517,281,2
12517,7,9
12517,344,5
12517,33,3
12517,202,2
12517,122,3
12517,379,2
12517,298,7
12517,137,5
12517,16,8
12517,99,3
12517,79,2
12517,187,9
12517,177,9
12517,211,4
12517,337,26
12517,285,5
12517,302,2
12517,189,3
12517,166,3
12517,295,2
12517,115,3
12517,277,11
12517,245,3
12517,141,3
12517,299,3
12517,358,5
12517,1,2
12517,46,2
12517,252,3
12517,243,2
12517,238,2
12517,310,10
12517,36,2
12517,206,28
12517,216,2
12517,0,2
12517,59,2
12517,300,5
12517,287,2
12517,50,2
12517,54,2
12517,261,4
12517,61,2
12517,383,2
12517,250,3
12517,10,3
12517,90,2
12517,266,3
12517,118,12
12517,233,3
12517,341,2
12517,304,2
12517,232,3
12517,130,2
12517,273,3
12517,108,4
12517,251,2
12517,258,2
12517,200,3
12517,357,6
12517,154,4
12517,332,2
12517,282,7
12517,376,8
12517,197,5
12517,142,3
12517,170,7
12518,278,3
12518,159,3
12518,36,2
12518,111,4
12518,46,10
12518,391,2
12518,60,14
12518,177,22
12518,27,2
12518,16,7
12518,308,2
12518,54,6
12518,94,5
12518,115,4
12518,375,3
12518,189,29
12518,37,4
12518,300,5
12518,5,4
12518,254,6
12518,11,3
12518,158,2
12518,287,22
12518,303,3
12518,357,14
12518,235,2
12518,95,3
12518,211,21
12518,313,5
12518,99,24
12518,10,7
12518,339,2
12518,298,10
12518,174,2
12518,7,6
12518,39,2
12518,370,2
12518,299,9
12518,281,9
12518,248,2
12518,291,5
12518,45,7
12518,114,2
12518,141,6
12518,157,17
12518,133,6
12518,33,7
12518,305,14
12518,294,8
12518,243,3
12518,344,17
12518,110,2
12518,342,4
12518,369,3
12518,116,3
12518,245,8
12518,202,3
12518,3,4
12518,9,4
12518,122,12
12518,288,5
12518,168,2
12518,53,7
12518,337,30
12518,379,6
12518,62,2
12518,323,24
12518,204,2
12518,239,2
12518,20,2
12518,137,11
12518,120,2
12518,73,2
12518,31,2
12518,236,2
12518,246,6
12518,1,7
12518,123,2
12518,52,4
12518,79,11
12518,311,3
12518,383,5
12518,167,9
12518,250,8
12518,154,6
12518,170,8
12518,335,9
12518,341,2
12518,380,4
12518,309,2
12518,108,6
12518,197,37
12518,393,2
12518,261,5
12518,72,5
12518,142,23
12518,30,6
12518,13,4
12518,139,7
12518,191,2
12518,84,2
12518,273,5
12518,376,7
12518,265,2
12518,282,21
12518,268,3
12518,151,3
12518,208,6
12518,332,8
12518,41,2
12518,338,6
12518,252,5
12518,130,27
12518,238,13
12518,147,9
12518,200,15
12518,192,2
12518,44,2
12518,12,2
12518,105,4
12518,187,14
12518,198,4
12518,2,8
12518,356,2
12518,286,2
12518,129,2
12518,232,15
12518,25,2
12518,270,5
12518,257,13
12518,277,13
12518,201,3
12518,259,2
12518,65,6
12518,160,4
12518,233,4
12518,61,6
12518,285,7
12518,152,2
12518,266,2
12518,155,3
12518,107,3
12518,293,2
12518,310,12
12518,206,45
12518,230,6
12518,307,2
12518,215,2
12518,251,7
12518,321,3
12518,96,4
12518,8,2
12518,59,5
12518,118,30
12518,0,2
12518,6,2
12518,209,2
12519,187,6
12519,270,2
12519,198,3
12519,118,3
12519,167,2
12519,59,2
12519,326,2
12519,61,2
12519,233,3
12519,277,7
12519,383,3
12519,154,2
12519,25,2
12519,310,2
12519,1,3
12519,285,3
12519,257,6
12519,248,2
12519,99,10
12519,177,10
12519,142,10
12519,147,6
12519,137,3
12519,115,2
12519,157,3
12519,200,3
12519,39,2
12519,5,4
12519,105,2
12519,7,2
12519,298,4
12519,215,5
12519,357,2
12519,130,5
12519,191,2
12519,3,2
12519,2,3
12519,266,2
12519,52,2
12519,79,4
12519,246,4
12519,294,2
12519,60,4
12519,46,2
12519,139,2
12519,279,2
12519,94,2
12519,287,3
12519,337,2
