user,item,value
12495,233,7
12495,13,4
12495,353,3
12495,57,3
12495,27,3
12495,152,3
12495,356,6
12495,260,3
12495,142,3
12495,244,7
12495,84,3
12495,363,3
12495,206,3
12495,42,2
12495,332,2
12495,189,3
12495,222,2
12495,273,3
12495,330,3
12495,365,4
12495,5,3
12495,37,3
12495,115,3
12495,36,2
12495,111,2
12495,208,2
12495,333,3
12495,144,3
12495,378,7
12495,160,5
12495,373,3
12495,231,4
12495,383,3
12495,167,3
12495,18,3
12495,43,2
12495,384,3
12495,344,3
12495,64,2
12495,245,3
12495,165,4
12495,20,2
12495,73,2
12495,291,2
12495,45,2
12495,241,4
12495,66,3
12495,347,3
12495,335,2
12495,118,3
12495,297,4
12495,148,4
12495,50,3
12495,158,4
12495,54,2
12495,308,4
12495,117,3
12495,141,4
12495,307,3
12495,3,5
12496,53,6
12496,3,11
12496,133,18
12496,372,8
12496,350,7
12496,113,2
12496,214,3
12496,20,2
12496,379,2
12496,62,17
12496,52,2
12496,239,2
12496,1,2
12496,120,5
12496,193,5
12496,124,19
12496,165,3
12496,155,4
12496,381,5
12496,244,13
12496,8,6
12496,297,6
12496,59,15
12496,345,4
12496,54,2
12496,141,3
12496,118,9
12496,347,9
12496,0,4
12496,78,3
12496,231,3
12496,107,2
12496,285,6
12496,389,13
12496,169,6
12496,354,2
12496,57,9
12496,273,14
12496,237,6
12496,44,4
12496,31,15
12496,30,3
12496,362,3
12496,82,2
12496,173,3
12496,241,3
12496,384,11
12496,314,4
12496,14,6
12496,43,2
12496,264,13
12496,250,16
12496,154,6
12496,170,16
12496,258,2
12496,335,2
12496,242,7
12496,383,22
12496,197,3
12496,221,2
12496,328,6
12496,358,3
12496,132,7
12496,291,2
12496,45,15
12496,11,2
12496,266,2
12496,137,2
12496,167,9
12496,23,11
12496,344,9
12496,18,24
12496,233,12
12496,203,16
12496,13,3
12496,117,9
12496,142,13
12496,307,14
12496,276,4
12496,319,2
12496,64,4
12496,158,3
12496,365,7
12496,98,6
12496,224,5
12496,308,6
12496,131,6
12496,144,9
12496,311,4
12496,125,5
12496,324,15
12496,268,2
12496,338,3
12496,332,4
12496,238,3
12496,40,15
12496,330,22
12496,162,5
12496,51,17
12496,216,3
12496,189,9
12496,353,9
12496,56,7
12496,39,8
12496,225,7
12496,364,6
12496,5,9
12496,37,9
12496,115,9
12496,375,6
12496,334,2
12496,36,4
12496,27,11
12496,42,2
12496,16,3
12496,322,2
12496,46,4
12496,373,9
12496,126,2
12496,336,6
12496,195,2
12496,206,9
12496,24,3
12496,201,20
12496,259,2
12496,160,24
12496,79,6
12496,84,9
12496,333,9
12496,123,2
12496,245,12
12496,66,9
12496,75,13
12496,318,3
12496,360,4
12496,104,7
12496,363,9
12496,187,13
12496,148,3
12496,287,3
12496,260,9
12496,262,2
12496,178,13
12496,61,3
12496,257,4
12496,252,5
12496,304,6
12496,321,2
12496,357,13
12496,95,12
12496,280,23
12496,279,5
12496,303,42
12496,50,11
12496,286,3
12496,149,2
12496,152,9
12496,129,18
12496,270,6
12496,378,18
12496,156,2
12497,59,3
12497,78,2
12497,231,2
12497,107,3
12497,187,3
12497,257,4
12497,149,3
12497,4,2
12497,297,5
12497,378,2
12497,360,3
12497,242,3
12497,95,3
12497,148,2
12497,16,3
12497,46,3
12497,216,3
12497,375,3
12497,39,3
12497,322,3
12497,303,3
12497,318,3
12497,11,5
12497,214,3
12497,26,3
12497,287,3
12497,123,5
12497,308,5
12497,158,2
12497,150,3
12497,197,3
12497,142,3
12497,13,2
12497,233,2
12497,90,3
12497,311,3
12497,30,3
12497,332,3
12497,203,3
12497,31,3
12497,133,3
12497,324,3
12497,19,3
12497,40,3
12497,241,2
12497,141,5
12497,365,6
12497,193,3
12497,120,3
12497,170,3
12497,165,2
12497,83,3
12497,113,3
12497,18,3
12497,52,2
12498,216,2
12498,44,2
12498,203,6
12498,142,4
12498,307,2
12498,250,2
12498,170,6
12498,19,2
12498,18,4
12498,64,2
12498,224,2
12498,30,2
12498,197,2
12498,51,2
12498,39,2
12498,311,4
12498,322,2
12498,125,2
12498,280,2
12498,357,2
12498,95,4
12498,150,2
12498,318,2
12498,40,4
12498,332,4
12498,375,2
12498,303,8
12498,324,4
12498,201,2
12498,90,2
12498,133,6
12498,46,4
12498,113,2
12498,279,2
12498,287,4
12498,242,6
12498,59,4
12498,381,2
12498,0,2
12498,107,2
12498,187,4
12498,360,4
12498,149,2
12498,129,4
12498,345,2
12498,123,2
12498,83,2
12498,16,2
12498,11,2
12498,45,2
12498,26,2
12498,276,2
12498,31,4
12498,141,2
12498,193,2
12498,120,4
12498,62,2
12498,379,2
12498,53,2
12499,36,5
12499,365,3
12499,273,4
12499,98,2
12499,192,2
12499,60,2
12499,277,3
12499,59,3
12499,118,3
12499,129,3
12499,61,2
12499,261,2
12499,245,2
12499,147,3
12499,16,3
12499,139,5
12499,271,3
12499,152,3
12499,282,3
12499,13,3
12499,176,3
12499,177,2
12499,369,2
12499,344,3
12499,380,3
12499,1,3
12499,193,3
12499,23,3
12499,305,2
12499,372,2
12499,206,3
12499,291,5
12500,176,2
12500,369,2
12500,372,2
12500,1,2
12500,193,2
12500,23,2
12500,305,2
12500,291,4
12500,75,2
12500,129,2
12500,277,2
12500,319,2
12500,245,2
12500,118,2
12500,152,2
12500,59,2
12500,384,2
12500,61,2
12500,16,2
12500,358,4
12500,271,2
12500,344,2
12500,282,2
12500,36,6
12500,39,2
12500,98,2
12500,252,2
12500,273,8
12500,365,2
12500,192,2
12500,147,2
12500,46,2
12500,137,2
12500,261,2
12500,206,2
12500,13,2
12500,175,2
12500,380,2
12500,170,2
12500,177,2
12500,60,2
12500,139,4
12501,197,2
12501,375,2
12501,193,2
12501,26,2
12501,31,2
12501,216,2
12501,11,2
12501,107,2
12501,46,2
12501,123,2
12501,149,2
12501,360,2
12501,59,2
12501,242,2
12501,287,2
12501,187,2
12501,133,4
12501,16,2
12501,83,2
12501,141,2
12501,18,2
12501,113,2
12501,322,2
12501,95,4
12501,39,2
12501,150,2
12501,318,2
12501,40,4
12501,332,2
12501,324,2
12501,303,4
12501,90,2
12501,203,4
12501,142,2
12501,120,2
12501,30,2
12501,170,2
12501,311,2
12501,19,2
12502,158,2
12502,242,2
12502,297,4
12502,59,2
12502,231,2
12502,360,2
12502,187,2
12502,149,2
12502,4,2
12502,287,2
12502,107,2
12502,148,2
12502,150,2
12502,16,2
12502,46,2
12502,216,2
12502,375,2
12502,39,2
12502,322,2
12502,303,2
12502,40,2
12502,18,2
12502,193,2
12502,378,2
12502,308,4
12502,123,2
12502,113,2
12502,95,2
12502,318,2
12502,324,2
12502,30,2
12502,311,2
12502,90,2
12502,233,2
12502,13,2
12502,142,2
12502,197,2
12502,170,2
12502,83,2
12502,19,2
12502,203,2
12502,332,2
12502,365,4
12502,241,2
12502,11,2
12502,31,2
12502,141,4
12502,26,2
12502,120,2
12502,165,2
12502,214,2
12502,133,2
12503,197,6
12503,203,6
12503,13,2
12503,142,6
12503,40,6
12503,133,6
12503,19,6
12503,113,6
12503,137,2
12503,18,6
12503,384,2
12503,241,2
12503,233,2
12503,83,6
12503,53,2
12503,193,6
12503,165,2
12503,332,6
12503,51,3
12503,324,6
12503,31,6
12503,311,6
12503,90,6
12503,26,6
12503,11,8
12503,141,8
12503,120,6
12503,52,2
12503,62,3
12503,365,4
12503,214,5
12503,303,11
12503,16,6
12503,297,7
12503,162,2
12503,30,8
12503,150,6
12503,95,6
12503,280,3
12503,322,6
12503,39,6
12503,375,8
12503,216,6
12503,308,7
12503,148,2
12503,287,6
12503,158,2
12503,319,2
12503,318,6
12503,46,6
12503,59,6
12503,242,6
12503,360,6
12503,187,6
12503,286,2
12503,149,6
12503,257,4
12503,270,4
12503,378,2
12503,170,6
12503,123,8
12503,107,6
12503,231,2
12503,78,2
12503,201,3
12504,165,3
12504,350,5
12504,53,2
12504,214,5
12504,62,9
12504,26,41
12504,52,5
12504,141,44
12504,237,3
12504,31,43
12504,132,3
12504,372,2
12504,84,7
12504,66,7
12504,118,7
12504,123,46
12504,378,13
12504,333,7
12504,107,41
12504,297,8
12504,142,48
12504,324,43
12504,336,3
12504,162,2
12504,330,7
12504,59,43
12504,381,3
12504,57,7
12504,23,5
12504,245,7
12504,45,2
12504,187,43
12504,241,3
12504,347,7
12504,152,7
12504,306,2
12504,360,41
12504,286,2
12504,149,41
12504,270,4
12504,129,5
12504,61,2
12504,257,10
12504,104,3
12504,201,11
12504,260,7
12504,113,41
12504,11,46
12504,363,7
12504,3,7
12504,83,41
12504,124,3
12504,137,2
12504,18,50
12504,344,7
12504,169,3
12504,4,2
12504,160,7
12504,193,41
12504,79,3
12504,120,44
12504,231,3
12504,75,6
12504,133,49
12504,78,3
12504,285,2
12504,40,49
12504,16,41
