user,item,value
12495,90,1
12495,88,1
12495,19,1
12495,313,1
12495,168,1
12495,131,1
12495,52,1
12495,203,1
12495,44,1
12495,324,1
12495,255,1
12495,168,1
12495,223,1
12495,279,1
12495,88,1
12495,89,1
12495,147,1
12495,156,1
12495,146,1
12495,230,1
12495,170,1
12495,136,1
12495,88,1
12495,207,1
12495,192,1
12495,154,1
12495,362,1
12495,102,1
12495,318,1
12495,381,1
12495,372,1
12495,98,1
12495,289,1
12495,9,1
12495,301,1
12495,139,1
12495,185,1
12495,317,1
12495,275,1
12495,268,1
12495,354,1
12495,252,1
12495,10,1
12495,155,1
12495,182,1
12495,204,1
12495,364,1
12495,75,1
12495,223,1
12495,243,1
12495,88,1
12495,287,1
12495,188,1
12495,190,1
12495,15,1
12495,185,1
12495,390,1
12495,309,1
12495,7,1
12495,16,1
12495,220,1
12495,112,1
12495,48,1
12495,74,1
12495,108,1
12495,389,1
12495,391,1
12495,104,1
12496,315,1
12496,67,1
12496,150,1
12496,342,1
12496,182,1
12496,89,1
12496,143,1
12496,17,1
12496,89,1
12496,80,1
12496,28,1
12496,261,1
12496,227,1
12496,374,1
12496,184,1
12496,226,1
12496,209,1
12496,299,1
12496,385,1
12496,249,1
12496,140,1
12496,236,1
12496,188,1
12496,341,1
12496,140,1
12496,346,1
12496,220,1
12496,159,1
12496,21,1
12496,222,1
12496,174,1
12496,370,1
12496,272,1
12496,67,1
12496,106,1
12496,267,1
12496,368,1
12496,121,1
12496,352,1
12496,153,1
12496,88,1
12496,235,1
12496,17,1
12496,65,1
12496,26,1
12496,92,1
12496,77,1
12496,33,1
12496,290,1
12496,236,1
12496,248,1
12496,10,1
12496,90,1
12496,205,1
12496,92,1
12496,116,1
12496,81,1
12496,89,1
12496,91,1
12496,88,1
12496,331,1
12496,121,1
12496,223,1
12496,361,1
12496,111,1
12496,388,1
12496,103,1
12496,228,1
12496,240,1
12496,196,1
12496,202,1
12496,58,1
12496,81,1
12496,176,1
12496,382,1
12496,93,1
12496,293,1
12496,93,1
12496,68,1
12496,49,1
12496,210,1
12496,388,1
12496,219,1
12496,103,1
12496,116,1
12496,226,1
12496,192,1
12496,174,1
12496,207,1
12496,128,1
12496,19,1
12496,183,1
12496,232,1
12496,377,1
12496,110,1
12496,15,1
12496,284,1
12496,101,1
12496,331,1
12496,121,1
12496,288,1
12496,388,1
12496,376,1
12496,191,1
12496,274,1
12496,32,1
12496,191,1
12496,101,1
12496,19,1
12496,114,1
12496,71,1
12496,49,1
12496,229,1
12496,290,1
12496,312,1
12496,320,1
12496,96,1
12496,145,1
12496,108,1
12496,346,1
12496,271,1
12496,271,1
12496,386,1
12496,140,1
12496,161,1
12496,49,1
12496,315,1
12496,191,1
12496,168,1
12496,348,1
12496,72,1
12496,325,1
12496,320,1
12496,374,1
12496,272,1
12496,89,1
12496,376,1
12496,326,1
12496,356,1
12496,301,1
12496,306,1
12496,183,1
12496,290,1
12496,182,1
12496,77,1
12496,58,1
12496,180,1
12496,171,1
12496,310,1
12496,253,1
12496,63,1
12496,227,1
12496,299,1
12496,196,1
12497,309,1
12497,386,1
12497,38,1
12497,226,1
12497,97,1
12497,369,1
12497,175,1
12497,260,1
12497,84,1
12497,220,1
12497,208,1
12497,185,1
12497,227,1
12497,295,1
12497,249,1
12497,82,1
12497,25,1
12497,10,1
12497,246,1
12497,229,1
12497,211,1
12497,258,1
12497,384,1
12497,296,1
12497,279,1
12497,178,1
12497,227,1
12497,306,1
12497,261,1
12497,350,1
12497,92,1
12497,84,1
12497,227,1
12497,106,1
12497,234,1
12497,286,1
12497,174,1
12497,138,1
12497,388,1
12497,86,1
12497,377,1
12497,35,1
12497,344,1
12497,355,1
12497,238,1
12497,211,1
12497,343,1
12497,183,1
12498,202,1
12498,27,1
12498,305,1
12498,23,1
12498,301,1
12498,297,1
12498,190,1
12498,204,1
12498,326,1
12498,146,1
12498,253,1
12498,131,1
12498,60,1
12498,78,1
12498,347,1
12498,388,1
12498,196,1
12498,165,1
12498,104,1
12498,4,1
12498,211,1
12498,291,1
12498,223,1
12498,266,1
12498,323,1
12498,259,1
12498,77,1
12498,246,1
12498,392,1
12498,63,1
12498,252,1
12498,77,1
12498,28,1
12498,55,1
12498,301,1
12498,264,1
12498,262,1
12498,122,1
12498,190,1
12498,338,1
12498,380,1
12498,221,1
12498,245,1
12498,266,1
12498,20,1
12499,333,1
12499,318,1
12499,274,1
12499,347,1
12499,222,1
12499,359,1
12499,4,1
12499,251,1
12499,68,1
12499,212,1
12499,48,1
12499,141,1
12499,243,1
12499,103,1
12499,390,1
12499,80,1
12499,82,1
12499,260,1
12499,151,1
12499,191,1
12499,22,1
12499,42,1
12499,199,1
12499,300,1
12499,269,1
12499,86,1
12499,211,1
12499,295,1
12499,166,1
12499,111,1
12499,316,1
12500,154,1
12500,142,1
12500,22,1
12500,87,1
12500,158,1
12500,338,1
12500,168,1
12500,114,1
12500,166,1
12500,187,1
12500,297,1
12500,58,1
12500,164,1
12500,219,1
12500,72,1
12500,145,1
12500,328,1
12500,163,1
12500,109,1
12500,165,1
12500,285,1
12500,320,1
12500,135,1
12500,204,1
12500,324,1
12500,49,1
12500,133,1
12500,311,1
12500,84,1
12500,254,1
12500,15,1
12500,156,1
12500,51,1
12500,257,1
12500,254,1
12500,286,1
12500,99,1
12500,249,1
12500,184,1
12500,121,1
12500,335,1
12500,391,1
12500,267,1
12500,100,1
12500,31,1
12500,84,1
12501,116,1
12501,364,1
12501,140,1
12501,176,1
12501,9,1
12501,269,1
12501,15,1
12501,231,1
12501,306,1
12501,246,1
12501,215,1
12501,373,1
12501,336,1
12501,34,1
12501,185,1
12501,56,1
12501,296,1
12501,373,1
12501,343,1
12501,116,1
12501,192,1
12501,167,1
12501,342,1
12501,175,1
12501,323,1
12501,350,1
12501,317,1
12501,221,1
12501,72,1
12501,259,1
12501,94,1
12501,115,1
12502,44,1
12502,176,1
12502,156,1
12502,255,1
12502,89,1
12502,344,1
12502,35,1
12502,274,1
12502,204,1
12502,265,1
12502,213,1
12502,200,1
12502,259,1
12502,269,1
12502,134,1
12502,134,1
12502,110,1
12502,105,1
12502,269,1
12502,115,1
12502,177,1
12502,331,1
12502,200,1
12502,283,1
12502,387,1
12502,111,1
12502,223,1
12502,190,1
12502,139,1
12502,316,1
12502,386,1
12502,232,1
12502,372,1
12502,372,1
12502,377,1
12502,333,1
12502,210,1
12502,225,1
12502,115,1
12502,156,1
12502,38,1
12502,112,1
12502,388,1
12503,164,1
12503,301,1
12503,43,1
12503,282,1
12503,250,1
12503,184,1
12503,1,1
12503,355,1
12503,167,1
12503,112,1
12503,252,1
12503,157,1
12503,131,1
12503,363,1
12503,80,1
12503,60,1
12503,206,1
12503,218,1
12503,309,1
12503,185,1
12503,251,1
12503,88,1
12503,34,1
12503,132,1
12503,42,1
12503,370,1
12503,323,1
12503,366,1
12503,185,1
12503,157,1
12503,282,1
12503,66,1
12503,37,1
12503,392,1
12503,112,1
12503,106,1
12503,213,1
12503,115,1
12503,80,1
12503,132,1
12503,389,1
12503,381,1
12503,116,1
12503,320,1
12503,387,1
12503,74,1
12503,373,1
12503,350,1
12503,367,1
12503,64,1
12503,85,1
12503,385,1
12503,337,1
12503,292,1
12503,153,1
12503,256,1
12503,117,1
12503,14,1
12503,247,1
12503,60,1
12503,194,1
12503,349,1
12503,176,1
12503,60,1
12503,79,1
12503,63,1
12503,115,1
12503,29,1
12503,305,1
12503,218,1
12503,331,1
12503,391,1
12504,392,1
12504,294,1
12504,178,1
12504,247,1
12504,331,1
12504,174,1
12504,77,1
12504,316,1
12504,348,1
